p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	safe	gage	padog	plage	zscore	gsva	ssgsea	globaltest	ora
NPM1	2.40117415829346e-08	3.09170790316216e-08	30	87.2	62	2.40117418423882e-09	20	1.30055392787905	-1.36196563079131	-1	49.9157887613878	26	143	36	181	153	22	20	53	167	71
MTPAP	3.55589936939037e-09	1.30756425717646e-08	70	87.5	82	3.55589937508036e-10	28	1.32926842363633	1.58228463740669	1	57.3881439556271	127	149	70	57	28	89	66	79	85	125
TRA2A	6.98179103780628e-07	7.05339915101455e-07	5	87.9	63.5	6.98179323135052e-08	2	0.814063390481815	0.819413778483372	1	0	2	32	197	95	195	17	10	13	134	184
LSM11	7.9154951085706e-09	1.41759321489855e-08	75	88.2	83	7.91549513676536e-10	26	1.46982574471666	1.27911380493534	1	68.4693723807018	72	160	26	89	110	77	74	118	103	53
ATP5C1	5.13968253393709e-09	1.30756425717646e-08	60	88.3	73	5.13968254582445e-10	22	0.972325484533733	0.99116770991072	1	27.8738597773196	133	27	174	22	67	101	79	56	59	165
RPS10	3.69734443259317e-09	1.30756425717646e-08	115	88.5	95.5	3.69734443874482e-10	14	1.40028462157806	1.64832635174753	1	63.2602092571148	175	113	71	43	29	136	113	105	14	86
PUM2	3.41099393325817e-09	1.30756425717646e-08	65	89.2	74.5	3.41099393849387e-10	8	1.32037494241137	1.24321941100218	1	56.6527750676254	172	86	61	63	22	140	100	180	8	60
HNRNPAB	3.39233139368832e-09	1.30756425717646e-08	130	89.3	83.5	3.39233139886688e-10	21	1.30259364098433	1.09193727811458	1	55.1825053805515	126	150	56	157	21	67	30	76	119	91
EFTUD2	2.99589232243156e-09	1.30756425717646e-08	10	89.5	93.5	2.99589232647048e-10	4	0.982920206201842	-0.94701760219216	-1	28.7498979107222	99	9	178	44	10	123	153	187	4	88
DDX52	1.99773635724937e-08	2.64130243206796e-08	5	90.1	77	1.99773637520865e-09	3	1.33405164085868	1.31094706951273	1	53.5110708498951	14	185	53	190	149	5	3	9	192	101
