	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
XRCC6	2.85281750479493e-07	7.23768942135502e-07	55	61.5	57.0	2.85281787103054e-08	5	0.846405832780314	0.839168137429238	1	45.8761577552859
DDX47	2.35518549759793e-07	7.23768942135502e-07	70	61.8	62.5	2.3551857472084e-08	7	0.740415889106429	-0.744303855477513	-1	34.1322012190757
PUM1	7.12120516523901e-07	8.50228737910354e-07	30	62.5	47.0	7.12120744726035e-08	4	0.850429093845616	-0.850910446933007	-1	45.2487198333577
FAM120A	8.15864703695245e-13	1.6072534662796301e-10	5	62.9	32.5	8.15864703695545e-14	1	0.821334264186462	-0.838013620095552	-1	97.2463621873807
METAP2	7.49547851970034e-07	8.74427121291204e-07	10	63.3	26.5	7.49548104790046e-08	7	0.676763424221749	0.710394857537616	1	26.0764437926038
GPKOW	3.83720699325577e-07	7.23768942135502e-07	35	63.7	49.5	3.83720765584302e-08	12	0.784456908495583	0.813372272826343	1	39.012058680912
TROVE2	2.80881398565113e-07	7.23768942135502e-07	50	64.2	55.0	2.80881434067581e-08	3	0.805033307669311	0.89502132546566	1	41.2919762767878
EIF4G2	2.28073378366525e-07	7.23768942135502e-07	55	64.4	55.5	2.28073401774388e-08	19	0.714756977600263	-0.672511342794755	-1	31.2891282722493
APOBEC3C	2.34534073949991e-07	7.23768942135502e-07	90	64.5	67.5	2.34534098702798e-08	6	0.732892667316732	0.77991820539301	1	33.2986090248736
SSRP1	6.77118838141304e-07	8.13368360450224e-07	15	65.8	60.5	6.77119044461855e-08	14	0.809871653403579	0.753070031197957	1	41.0873323365039
LARP7	7.119943002177091e-09	2.33771461904815e-07	10	66.2	41.0	7.11994302498921e-10	4	0.802448692893645	-0.831654736763919	-1	48.1125304830682
AARS	4.16843927442997e-07	7.23768942135502e-07	50	66.5	55.5	4.16844005634504e-08	9	0.781799002890979	-0.771156120845691	-1	38.7175559496542
XPO5	9.60119930518381e-07	1.06260464220293e-06	10	67.4	68.5	9.60120345342257e-08	7	0.729619636921497	-0.658964509032989	-1	30.7402532114274
KIF1C	3.91235384770154e-07	7.23768942135502e-07	55	67.5	59.5	3.91235453649477e-08	23	0.75536565106553	-0.665319892619929	-1	35.7886730369547
DDX55	6.28451883253216e-07	8.01298295875294e-07	45	68.5	61.0	6.28452060981582e-08	25	0.90615968421446	-0.863645743289484	-1	51.7743940378788
KHDRBS1	3.43705966111726e-07	7.23768942135502e-07	30	69.4	43.5	3.43706019271943e-08	16	0.736978616808801	-0.68838121170505	-1	33.7513426671487
HNRNPU	3.26526143853587e-07	7.23768942135502e-07	70	70.4	60.5	3.26526191832293e-08	11	0.738330025943976	0.772459176102103	1	33.9010822518301
CNOT7	4.77717143107338e-07	7.46132563833624e-07	50	70.6	46.5	4.7771724580352e-08	17	0.817035436905689	0.985670112747843	1	42.4269949616283
RBM17	1.9892193707655e-07	7.23768942135502e-07	130	70.8	97.0	1.98921954883024e-08	6	0.826352776538577	0.928527937589612	1	43.6542278932818
DNAJC2	2.53054645581432e-06	2.56967861750217e-06	15	71.2	33.0	2.53054933746835e-07	2	1.08498901652501	-1.00700927170285	-1	61.5381732044399
HNRNPL	2.67242633254059e-07	7.23768942135502e-07	135	72.2	70.5	2.67242665392445e-08	7	0.701322725752387	-0.674844323839675	-1	29.800578846434
LARP4	3.89021061163317e-07	7.23768942135502e-07	70	72.5	64.5	3.89021129265158e-08	5	0.748574262154923	-0.777219179993917	-1	35.0361697954012
DDX28	4.84796792744689e-07	7.46132563833624e-07	40	72.7	63.0	4.84796898507289e-08	19	0.619043377259879	0.6942610112838	1	20.5361863919016
SUCLG1	3.42484392929512e-07	7.23768942135502e-07	75	74.2	71.0	3.42484445712525e-08	11	0.758688543797138	0.819968742027696	1	36.1568580407562
AUH	2.64762239761305e-07	7.23768942135502e-07	20	75.6	68.0	2.64762271305879e-08	20	0.653277565939833	0.615050654778165	1	24.4770523961323
