	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	7.02504454610014e-23	1.87851852186319e-22	185	84.2	70.5	7.02504454610017e-24	13	0.955471382700691	-0.74795151810426	-1	45.3505366377079
NUSAP1	1.43244276309979e-22	2.0749354730195599e-22	140	84.5	68.0	1.4324427630998e-23	15	0.808819041298069	-0.896404600316995	-1	28.0326626981644
NELFE	6.63898929978065e-23	1.87851852186319e-22	55	85.2	77.5	6.63898929978065e-24	48	0.909087685389303	-0.801532025975918	-1	39.9325813380972
STAU1	7.544847530080221e-23	1.87851852186319e-22	75	86.1	82.5	7.54484753008026e-24	58	0.848436372676372	-0.853892238506146	-1	32.848064143719
UTP3	3.2655142749227e-22	3.7620252173086e-22	135	86.8	88.5	3.26551427492272e-23	14	0.782995803141147	-0.730306433252067	-1	23.9344699723357
PUM2	2.1444400816173e-22	2.7793072110434797e-22	120	87.5	80.5	2.14444008161732e-23	11	0.761717289203901	-0.720730094946065	-1	22.0219522529031
TROVE2	1.06148170629257e-22	1.8937661523040598e-22	20	88.0	72.0	1.06148170629258e-23	16	0.696614156475948	-0.698054286673464	-1	15.1009691763256
DKC1	1.0177054691448001e-22	1.8937661523040598e-22	40	88.5	72.5	1.01770546914481e-23	20	1.045665596776	1.18734324905868	1	55.8661433339807
ABCF1	9.24955820409795e-23	1.87851852186319e-22	40	88.5	81.0	9.249558204097999e-24	27	0.768492138169317	-0.722850493282439	-1	23.5099924908049
DDX19B	1.6257582577754498e-22	2.23968095651583e-22	90	89.8	99.0	1.6257582577754502e-23	27	0.8164005289422	-0.758629121895256	-1	28.7708335037529
SLBP	6.73928886021012e-23	1.87851852186319e-22	60	90.3	84.5	6.739288860210121e-24	27	0.952139880381272	-0.811591440916241	-1	44.9613927855914
EIF4G1	3.15089214175242e-22	3.6836865001212003e-22	125	90.6	110.5	3.15089214175244e-23	17	1.01603646433088	1.11385274691253	1	50.8273631210313
MATR3	1.41558344343762e-22	2.0749354730195599e-22	80	90.6	93.0	1.4155834434376202e-23	25	0.838286150167421	-0.912053968517213	-1	31.467794423971
GRSF1	1.75360146908721e-22	2.33418573925797e-22	125	90.6	92.0	1.75360146908721e-23	34	1.00800034659457	-1.056698059644	-1	50.9751512514013
SRFBP1	4.34446129862804e-22	4.808195931627659e-22	30	91.3	78.5	4.34446129862806e-23	28	0.838181088083924	-0.766641057677201	-1	29.8108319533186
EIF2S1	7.29343049927812e-23	1.87851852186319e-22	65	91.6	76.5	7.29343049927812e-24	9	0.682906339532907	-0.684371776352354	-1	13.5129448604578
RBM22	1.34980106850497e-22	2.06132411236805e-22	55	91.9	57.0	1.34980106850497e-23	23	0.703494706436941	-0.639209343123087	-1	15.7652765988022
FTO	2.99961968996379e-22	3.53847352648423e-22	110	92.4	91.5	2.9996196899637904e-23	42	0.780755237545229	-0.631043567482374	-1	23.7880690911096
DDX27	9.152095389660981e-23	1.87851852186319e-22	95	93.1	92.5	9.15209538966102e-24	22	1.08463826644438	1.08103357367867	1	60.4381739516379
HLTF	8.900374601118399e-23	1.87851852186319e-22	75	94.1	86.0	8.90037460111843e-24	31	0.83247523390216	-0.824807234771392	-1	30.9836863251717
YBX3	8.625358251150641e-23	1.87851852186319e-22	160	94.5	97.0	8.62535825115063e-24	5	1.32995061163156	1.37929158598097	1	89.0924511590843
RBM34	9.546091711067849e-22	1.00030854631934e-21	25	95.3	93.5	9.54609171106787e-23	11	0.764066023885424	-0.655486714295647	-1	20.0093625764963
DHX30	1.6427178971499099e-22	2.24732934540647e-22	55	96.7	78.5	1.6427178971499102e-23	41	0.726472564351617	-0.670356181211934	-1	18.2977303113041
SUB1	5.510977882229701e-22	5.90034044999593e-22	160	97.0	82.0	5.51097788222972e-23	8	0.727975553028984	-0.700234064359554	-1	16.8319378757189
IGF2BP2	1.3841981808653901e-21	1.4202450084920901e-21	45	97.6	76.5	1.3841981808654e-22	43	0.860207671961223	-0.989168976898772	-1	30.1599588062591
SRP68	2.39526329760772e-22	2.98649917486533e-22	25	97.8	89.5	2.39526329760772e-23	20	0.668513121747103	-0.598310587060938	-1	11.1080401176124
PCBP1	7.52398066947493e-23	1.87851852186319e-22	70	97.8	81.0	7.52398066947494e-24	67	0.934056737032231	0.979005197039793	1	42.8491493030629
SART3	8.16728303598707e-23	1.87851852186319e-22	135	98.4	107.0	8.16728303598706e-24	21	1.05749442049345	1.10524603752261	1	57.2675740955207
SAFB2	5.2266536738463303e-23	1.87851852186319e-22	60	98.9	99.5	5.22665367384633e-24	18	0.788320018436711	0.893067666922914	1	25.8260340140493
TIA1	2.3450918767608498e-22	2.98053612723798e-22	10	99.7	89.5	2.34509187676085e-23	10	0.722277689906707	-0.674049018124551	-1	17.3333051711491
PUF60	3.16336379952062e-22	3.6836865001212003e-22	110	100.1	100.5	3.16336379952062e-23	47	0.96522577484954	-0.912248647569454	-1	44.9721975933615
SF3A3	1.15319805171414e-22	1.93127969761003e-22	70	102.5	86.5	1.15319805171414e-23	66	0.757325489889984	-0.802427551857396	-1	22.1566656919554
SUPT6H	5.749439079274331e-23	1.87851852186319e-22	35	102.7	116.0	5.74943907927433e-24	26	1.14926147790397	1.24126105182873	1	67.9866379874995
PA2G4	5.89556828411429e-23	1.87851852186319e-22	70	103.1	99.5	5.8955682841143005e-24	39	1.00273232093932	-0.984931160834387	-1	50.8709600976055
HNRNPL	2.86994121618982e-22	3.44742938774021e-22	85	103.6	92.5	2.86994121618982e-23	44	0.796751224477443	-0.777496342257321	-1	25.6813602797924
TFIP11	1.7416837662596001e-22	2.33409321056559e-22	80	103.6	80.0	1.7416837662596102e-23	47	0.819409086020196	-0.802152932968245	-1	29.0420215235961
EEF2	5.34573380664712e-22	5.75469704868569e-22	200	104.5	87.5	5.345733806647111e-23	12	1.06494306038577	-0.852690648101914	-1	55.353854487535
PHF6	1.12816971085091e-19	1.13392567876342e-19	165	104.5	129.5	1.1281697108509201e-20	7	0.788414784575598	-0.679213723563273	-1	14.0500220657065
CCAR2	1.00023083671786e-22	1.8937661523040598e-22	95	105.4	93.0	1.00023083671786e-23	32	0.930973663279008	-0.864165695204635	-1	42.4714510231169
CELF1	6.65424490082998e-23	1.87851852186319e-22	160	106.6	112.5	6.65424490082999e-24	29	0.903858894320079	-0.72329546353336	-1	39.3218202749186
SSRP1	5.19778381859262e-23	1.87851852186319e-22	155	107.7	106.5	5.1977838185926404e-24	17	0.98418841854587	1.16220026513713	1	48.7048965866786
PABPC4	2.60730326436579e-22	3.17060952518556e-22	50	108.7	104.5	2.60730326436579e-23	49	0.862372590270314	-0.908248285154771	-1	33.421934608532
CPSF6	2.3817238448244297e-22	2.98649917486533e-22	160	109.6	118.0	2.38172384482444e-23	5	0.723719498743197	-0.734641664216087	-1	17.4967875639707
HNRNPA2B1	7.54778211645446e-23	1.87851852186319e-22	135	109.8	126.0	7.547782116454501e-24	29	0.750307983603131	-0.709709063391638	-1	21.3859501588752
FKBP4	4.8370811246367305e-23	1.87851852186319e-22	135	110.0	134.5	4.83708112463674e-24	9	1.31332549343148	1.36821684378746	1	87.1505156843402
UPF2	4.74423072142526e-23	1.87851852186319e-22	180	110.4	122.5	4.74423072142528e-24	5	1.01659793565758	-0.933395201638365	-1	52.4905653705707
UBE2L3	9.78049183339825e-22	1.01944809057114e-21	195	110.6	136.0	9.78049183339825e-23	12	0.784769325429826	-0.769957516381404	-1	22.3120859909776
