	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
CCAR2	1.33344147132587e-06	4.42755800056389e-06	170	117.5	138.0	1.33344227145631e-07	10	1.0447404806346	-0.907756872032175	-1	17.511651748937
DAZAP1	4.37450920528926e-06	5.86243750640806e-06	190	117.7	131.0	4.37451781666197e-07	5	1.27471545572819	1.48045459635417	1	24.6712493212463
TARDBP	1.22867224267969e-06	4.42755800056389e-06	165	118.2	136.5	1.22867292201619e-07	3	0.909697784475402	-0.913127223032393	-1	12.700201399289
HNRNPUL1	9.84767238452805e-06	1.11493762054714e-05	80	118.4	111.5	9.84771602429335e-07	46	0.911746338900868	0.752297049293406	1	10.3395753447281
SMN1	5.08331584559556e-06	6.46073046182145e-06	150	119.2	136.0	5.08332747367799e-07	51	1.10047494363429	1.07835998372992	1	18.2955035439403
TAF15	1.43352240999462e-06	4.42755800056389e-06	155	119.4	134.0	1.43352333473938e-07	27	1.2520781407356	1.40010630743323	1	24.8989069323802
GEMIN5	5.4893889117625e-06	6.72226576843796e-06	130	119.5	122.0	5.48940247183543e-07	57	1.04695998603867	-0.78294470683201	-1	16.3271851718223
HNRNPU	1.50168808322072e-06	4.42755800056389e-06	175	122.3	158.0	1.50168909800188e-07	36	1.03863521285565	-0.990975652808225	-1	17.2941265245068
SART3	3.77768610968358e-06	5.38783172417606e-06	135	122.6	131.0	3.77769253160949e-07	39	1.06410174790821	1.14925045632137	1	17.5977832720472
PUS1	1.34434746642909e-06	4.42755800056389e-06	80	122.8	133.0	1.34434827970133e-07	16	0.951859374766015	-0.90783306815452	-1	14.2023811107067
CNOT7	1.87957662840906e-06	4.42755800056389e-06	120	125.2	124.5	1.87957821817469e-07	65	0.88037676684325	0.955710875584489	1	11.6555197945028
SRFBP1	5.38838166966633e-06	6.67617099952369e-06	110	125.4	116.5	5.38839473530658e-07	55	0.867967815745053	0.760360707408517	1	10.1831355014079
DNAJC2	0.0005582405090603	0.0005582405090603	200	125.5	116.5	5.5838079327038e-05	3	1.50027687772184	-1.28438041724687	-1	12.7687213078806
BCLAF1	1.87623710326063e-06	4.42755800056389e-06	80	125.7	134.0	1.87623868738206e-07	64	0.879411965050333	-0.791675263429506	-1	11.6211447704852
NPM1	3.2172074721011e-06	4.9830836977448e-06	120	125.8	120.5	3.21721212980136e-07	44	1.04317251275655	-0.852668906864592	-1	17.0994170186392
CKAP4	1.38972123807794e-06	4.42755800056389e-06	190	125.8	136.5	1.38972210717501e-07	22	1.01752954888976	-0.949705601939266	-1	16.5421506149874
PUM1	1.57752231779774e-05	1.7169718044539e-05	180	127.5	132.0	1.57753351650462e-06	6	1.04330141273511	-0.883933299462039	-1	13.3737133688357
KHSRP	0.0002618623557698	0.0002631983881972	180	129.4	125.0	2.6189321824046e-05	53	1.03792584990784	-1.07910382329125	-1	5.01454057383659
TUFM	2.53557878102106e-06	4.42755800056389e-06	185	131.2	144.0	2.5355816741476e-07	18	1.30459584527808	1.41102453363344	1	26.7700657219363
HLTF	1.50002675568501e-06	4.42755800056389e-06	125	132.1	128.5	1.50002776822209e-07	35	0.920822005736149	-0.920995061806817	-1	13.0965474424063
PARN	1.05033784979e-05	1.18238032233503e-05	100	135.5	135.0	1.05034281426621e-06	84	0.848732195718123	0.765238339038237	1	8.11856720526809
