	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
EIF4B	0.0001691290748175	0.0002282084091715	50	90.2	80.5	1.69141948286248e-05	21	0.77089164014406	-0.723970166720385	-1	13.0482310522999
PHF6	0.0003890064298124	0.0004534571992488	95	92.0	88.5	3.89074543295333e-05	42	1.12618745619935	-1.02441811735057	-1	22.0329542165561
RBM25	7.28788586918559e-05	0.0001293435600206	90	92.3	89.5	7.28812488998003e-06	18	0.7004963708404	-0.64638323357028	-1	12.2639906599743
MSI2	2.31348414677181e-05	0.0001085552611739	145	93.2	90.5	2.31350823206474e-06	7	0.782310449574364	-0.72551303883059	-1	15.805633723426
HLTF	8.47612463545789e-05	0.0001357558173321	120	94.4	92.0	8.47644795391419e-06	41	0.873248455051939	-0.961818071635415	-1	18.3913286227242
SF3B1	4.85050735497681e-05	0.0001123015980926	170	94.6	74.5	4.85061323162654e-06	24	0.996448384286069	-0.997665060186976	-1	23.6293221525728
U2AF1	5.92549931196951e-05	0.0001215961837977	85	96.1	84.0	5.92565731983872e-06	52	0.800574492757272	-0.746715238745155	-1	16.1147557819018
BUD13	3.97719223951142e-05	0.0001085552611739	150	96.2	88.0	3.97726342256594e-06	39	0.77593936744429	-0.87677930916038	-1	15.5687646625207
UPF1	3.38125372044414e-05	0.0001085552611739	80	96.3	85.5	3.38130516949115e-06	52	0.747598480327433	-0.771745335970058	-1	14.5150850552674
TBRG4	0.0001119636557215	0.0001628485586929	35	96.5	103.5	1.11969297258715e-05	26	0.930472478604815	-1.00076247035065	-1	19.7771393509221
SRSF1	2.40420709144839e-05	0.0001085552611739	15	97.5	93.0	2.40423310279728e-06	13	0.793221670015017	0.74438893522309	1	16.2112995877709
SUB1	0.0004160760402498	0.000482158705466	45	98.2	102.0	4.16153964456921e-05	15	0.889984570567674	-0.883161272332398	-1	14.4041243506884
EIF2S2	9.19788298261175e-05	0.0001449586358059	105	98.2	99.0	9.19826370952165e-06	63	0.757134147426582	-0.702084418520072	-1	13.9778202228961
