	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
ZC3H8	4.96134379812576e-09	6.0332390631529305e-09	190	101.4	80.5	4.96134380920248e-10	33	0.491824832409421	-0.486816227659245	-1	12.1692338640684
SRFBP1	3.41995932130595e-08	3.56471950421837e-08	45	101.6	96.0	3.4199593739385e-09	35	0.650875803189191	-0.522093433876663	-1	26.1845929115625
NAA15	6.26568374438764e-10	2.6556333518435603e-09	170	102.3	115.5	6.265683746154279e-11	1	0.724195927371078	-0.592169661487543	-1	49.9075685841585
SLBP	1.36975570446755e-09	2.7101599373364203e-09	100	103.1	104.5	1.3697557053118601e-10	20	0.543147852509106	-0.48626133413445	-1	22.7980422752449
RBM34	8.115521930452761e-10	2.6556333518435603e-09	75	103.9	90.0	8.115521933416539e-11	37	0.552899305477856	-0.596145668237574	-1	24.3371486280138
SF3B1	8.91906501025201e-10	2.6556333518435603e-09	130	104.3	111.0	8.919065013831749e-11	14	0.816197584005036	-0.658092241264612	-1	63.6411785689355
PNPT1	1.33449505325789e-09	2.7101599373364203e-09	135	104.4	124.0	1.33449505405929e-10	18	0.708459731587434	-0.557048577666622	-1	47.4496864433596
TIA1	2.84942485374493e-08	3.001800514373e-08	40	104.5	85.5	2.8494248902814304e-09	1	0.645088585424452	-0.514465969514184	-1	26.2724723551614
SMN1	1.12753489498323e-09	2.6556333518435603e-09	40	104.6	104.0	1.12753489555533e-10	40	0.766430380345155	-0.582874042717682	-1	56.2121453307938
KHSRP	8.221631823251601e-10	2.6556333518435603e-09	105	105.3	103.0	8.221631826293379e-11	17	0.582424915188218	0.54925579646226	1	28.7446041365399
NOL12	1.2008318226745902e-09	2.6857984057706604e-09	185	105.4	114.5	1.2008318233234801e-10	8	0.770920745297839	-0.607189208616296	-1	56.8166230714406
FKBP4	8.71725069396611e-10	2.6556333518435603e-09	50	105.6	112.5	8.71725069738566e-11	6	0.705759858671191	0.717225073735985	1	47.1555118664825
PCBP2	1.53512854176881e-08	1.66165012488163e-08	90	105.8	88.0	1.5351285523736e-09	4	0.572154141095055	-0.518620481161304	-1	19.280179110257
XRN2	4.41559063621321e-08	4.53057997569793e-08	50	106.1	89.0	4.41559072395169e-09	17	0.620056789420635	-0.532914897120121	-1	21.0652421851084
SSRP1	1.39222227070121e-09	2.7155226468132604e-09	185	106.2	96.5	1.39222227157344e-10	12	0.727995858468163	-0.703319094935725	-1	50.3520745546055
GPKOW	2.667951591212e-09	3.95177792081778e-09	50	106.5	118.0	2.66795159441509e-10	22	0.573148859352415	-0.515657506386271	-1	25.6377190470013
ESF1	1.34539493898901e-08	1.46432487834716e-08	125	107.1	120.0	1.3453949471344e-09	38	0.709301069557523	-0.580520367820021	-1	38.5295868214219
EIF4G1	1.03614460850298e-09	2.6556333518435603e-09	170	107.3	104.5	1.0361446089861e-10	12	0.776484787558055	0.810073033758959	1	57.7130238186614
HNRNPM	2.77784747844622e-09	4.05359965373263e-09	150	107.3	125.5	2.77784748191861e-10	5	0.79227975940521	-0.62406351378606	-1	57.5378238756731
DDX1	1.7926769773987902e-09	3.1531907548889503e-09	110	107.5	111.0	1.79267697884495e-10	41	0.633521490611078	-0.581580075287332	-1	35.5496313219094
PHF6	9.34152310554514e-10	2.6556333518435603e-09	110	107.6	106.5	9.34152310947201e-11	60	0.644854425186394	-0.488697572573932	-1	38.063811781538
SFPQ	8.31712524208821e-10	2.6556333518435603e-09	135	109.4	124.5	8.317125245201059e-11	41	0.687231019959726	-0.570813198328875	-1	44.3896068421139
LARP4	3.953799001935291e-09	4.961136327269121e-09	80	109.8	121.5	3.95379900896992e-10	14	0.586961598765449	-0.608293281746526	-1	26.6487993208884
IGF2BP2	7.54496106494343e-09	8.692148127449451e-09	60	109.8	109.5	7.54496109056031e-10	50	0.545336575413498	-0.518956177871612	-1	18.3200043397151
FUBP3	7.36610179165865e-10	2.6556333518435603e-09	110	110.2	108.5	7.366101794100309e-11	22	0.564183465130277	-0.479590257510963	-1	26.0215992492552
SND1	7.32161756705707e-09	8.48446271006025e-09	190	110.3	107.0	7.321617591179801e-10	11	0.803402495527317	0.99015162108712	1	54.6766305049833
APOBEC3C	1.1323512769282202e-09	2.6556333518435603e-09	180	110.4	115.5	1.13235127750522e-10	5	0.83396258852926	-0.717386667541561	-1	66.2930617245203
KIF1C	6.30254405455356e-10	2.6556333518435603e-09	155	110.6	128.5	6.30254405634106e-11	3	0.61402897419037	-0.538899721093117	-1	33.4623215793715
CIRBP	3.1414040195098e-09	4.36984500726743e-09	160	110.8	111.5	3.14140402395059e-10	61	0.582822264264784	-0.596882439268879	-1	26.6095920357563
KHDRBS1	9.57616863137291e-10	2.6556333518435603e-09	190	111.0	88.0	9.576168635499529e-11	54	0.499114869548539	-0.519499064397773	-1	16.3084403054745
FTO	3.8220389512798406e-09	4.91235086792959e-09	140	111.6	108.0	3.82203895785344e-10	78	0.607822408106587	-0.541560526751901	-1	29.7096642114737
LSM11	7.305971968728281e-10	2.6556333518435603e-09	160	112.3	134.5	7.305971971130259e-11	21	0.692487473434251	-0.494055467334333	-1	45.1742675163175
SUCLG1	2.02245363699191e-09	3.3764692075204004e-09	105	113.0	107.5	2.02245363883255e-10	72	0.711708439162864	-0.472778180833157	-1	46.7514469635687
UTP18	8.62539184551683e-10	2.6556333518435603e-09	90	113.0	109.5	8.625391848864689e-11	46	0.507150139323353	-0.449540914532357	-1	17.5079106764137
UBE2L3	3.19683508325771e-08	3.34987506064771e-08	190	113.0	109.0	3.1968351292466e-09	26	0.641222156490066	-0.562135131734023	-1	25.2343830547046
SAFB2	1.5209796004249e-09	2.8795627113051903e-09	185	113.6	101.5	1.52097960146592e-10	7	0.816999717620639	-0.656965856070451	-1	63.2609243582868
RCC2	2.05821624871989e-08	2.2036337010751e-08	65	114.1	102.5	2.0582162677830303e-09	56	0.613785210053115	-0.621841308154475	-1	23.6077495172153
CPSF6	1.64268101705117e-08	1.76835060305508e-08	165	114.4	137.0	1.6426810291939702e-09	33	0.582346846053202	-0.537905637866999	-1	20.3864285277534
AGO1	3.9059710002607904e-09	4.93254030161138e-09	155	114.8	118.5	3.90597100712626e-10	50	0.638605541841825	-0.605880973324399	-1	34.1419059630709
SMNDC1	8.337032605637561e-09	9.43905415695746e-09	110	115.7	106.5	8.33703263691529e-10	30	0.507550621507513	-0.454584610473739	-1	12.7018863024851
PPIL4	6.74102183157881e-10	2.6556333518435603e-09	170	115.7	128.0	6.741021833623659e-11	10	0.743528555177042	-0.626007138344481	-1	52.7934597733175
TUFM	2.31716551342057e-08	2.46746814131812e-08	195	115.9	111.5	2.3171655375822203e-09	13	0.78848757245424	-0.656388106187548	-1	46.217946202144
HNRNPA0	1.09370628923309e-09	2.6556333518435603e-09	150	117.0	132.0	1.0937062897713801e-10	39	0.708388832957311	-0.654289517682693	-1	47.5479537944494
PUM1	1.06990699519502e-08	1.19756635257624e-08	195	118.2	125.5	1.06990700034617e-09	23	0.751988620271883	-0.602287154487226	-1	45.4940678621751
NUFIP2	1.21978322420528e-08	1.34244298976782e-08	5	118.4	144.0	1.2197832309007e-09	1	0.824582987520274	-0.61241318009375	-1	54.7922067793499
GEMIN5	6.82274051440765e-10	2.6556333518435603e-09	175	118.5	144.5	6.822740516502389e-11	13	0.550948722740075	-0.439607260211947	-1	24.0459740606872
SF1	2.9004718452342103e-09	4.14052864863145e-09	140	118.5	138.0	2.90047184901995e-10	6	0.909253124246317	-0.633971489655973	-1	74.4792814493844
G3BP1	8.506034154438191e-10	2.6556333518435603e-09	45	119.5	134.0	8.506034157694059e-11	43	0.507018266708947	-0.48968398475106	-1	17.4882253020391
PCBP1	8.39041831567865e-10	2.6556333518435603e-09	155	119.7	127.5	8.390418318846609e-11	42	0.507939193070682	0.547152389264944	1	17.6256972122145
EWSR1	1.1815193387047202e-09	2.6857984057706604e-09	125	120.2	124.5	1.18151933933292e-10	71	0.70603516058852	-0.501555542519338	-1	47.1363234121958
