	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance
TRIM56	5.39380399930102e-43	1.1087359200975299e-42	110	130.7	142.0	5.39380399930098e-44	77	0.675456691507843	-0.723004897451553	-1	37.5546454457621
ESF1	4.97252322360859e-43	1.1087359200975299e-42	190	131.0	131.5	4.97252322360854e-44	52	0.763810194686252	0.724797878129909	1	53.4323714777596
RBM39	5.02988820214364e-43	1.1087359200975299e-42	165	131.4	147.0	5.029888202143611e-44	54	0.657747335060545	-0.652131511858119	-1	34.3721535268465
SND1	4.69032881032032e-43	1.1087359200975299e-42	185	131.8	183.0	4.690328810320331e-44	26	0.957530680925678	-1.07470318185416	-1	88.245261704466
HLTF	3.76740999861611e-42	3.9062093143546e-42	190	132.2	133.5	3.76740999861612e-43	23	0.643965554449081	-0.621460193503204	-1	30.3868833260119
SUGP2	1.0163167539536099e-42	1.2435677051482e-42	175	132.6	153.5	1.01631675395361e-43	10	0.883193812509819	0.720454051765923	1	74.6978712245159
RBM25	4.78786051877935e-43	1.1087359200975299e-42	185	133.1	155.0	4.7878605187793e-44	35	0.552568234001017	-0.573211764189329	-1	15.4707530069059
NCBP2	6.28222326616739e-43	1.1087359200975299e-42	85	133.8	144.0	6.28222326616733e-44	81	0.738569840192002	-0.822727319145413	-1	48.8965079387558
SMNDC1	2.34821291956984e-42	2.4737858029693e-42	130	135.4	138.0	2.3482129195698397e-43	10	0.470387024448655	-0.546924386189656	-1	0.0
SRFBP1	6.034520819168099e-43	1.1087359200975299e-42	100	135.7	139.0	6.034520819168099e-44	94	0.588373433069939	-0.64424412264948	-1	21.9051910414625
SUB1	1.36318406544082e-41	1.37716544047098e-41	195	135.8	150.0	1.3631840654408e-42	46	0.645060806897338	-0.611384916777047	-1	29.0691478778769
FAM120A	1.4075415263179e-42	1.56658576657981e-42	120	136.0	127.5	1.4075415263178998e-43	108	0.612058577632698	0.574799529776783	1	25.7679972304565
