NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
PUS1	193	0.481865284974093	0.290155440414508	Down	0.004	0.0361166666666667	0.003	0.00321895424836601	0.847993626890359	-0.765554268784924	-1	51.4029812315015
ABCF1	198	0.464646464646465	0.257575757575758	Down	0.006	0.0361166666666667	0.002	0.0023452380952381	0.768492138169317	-0.722850493282439	-1	46.5636110702661
SUPV3L1	193	0.569948186528497	0.160621761658031	Down	0.006	0.0361166666666667	0.004	0.00400872093023256	0.773183642489467	-0.735560889182884	-1	46.8491896975784
UTP3	187	0.475935828877005	0.240641711229947	Down	0.004	0.0361166666666667	0.002	0.0023452380952381	0.782995803141147	-0.730306433252067	-1	47.446470053442
LARP4	189	0.465608465608466	0.291005291005291	Down	0.006	0.0361166666666667	0.002	0.0023452380952381	0.902560030248596	-0.91636307889637	-1	54.7245168211602
BUD13	191	0.460732984293194	0.25130890052356	Down	0.007	0.0376617647058824	0.004	0.00400872093023256	0.791945841785608	-0.829509828517643	-1	47.3831925252106
PTBP1	194	0.520618556701031	0.252577319587629	Down	0.007	0.0376617647058824	0.002	0.0023452380952381	0.828536709065558	-0.891668015811348	-1	49.5824357927927
HNRNPC	196	0.556122448979592	0.255102040816327	Down	0.007	0.0376617647058824	0.001	0.00140714285714286	0.821899332778636	-0.818598086466164	-1	49.1835055077644
EIF3D	185	0.405405405405405	0.351351351351351	Down	0.007	0.0376617647058824	0.001	0.00140714285714286	1.2443494083757	-1.46780430446803	-1	74.5742806850302
TARDBP	193	0.575129533678757	0.243523316062176	Down	0.01	0.0519861111111111	0.002	0.0023452380952381	0.774523005858008	-0.778343855594463	-1	41.7600671313402
RTF1	191	0.445026178010471	0.293193717277487	Down	0.01	0.0519861111111111	0.001	0.00140714285714286	1.07673983274453	-0.976831682680813	-1	58.1388662597616
DDX24	197	0.416243654822335	0.294416243654822	Down	0.013	0.0600609756097561	0.001	0.00140714285714286	0.824129103444265	-0.834668049208244	-1	42.2674834997786
PUM2	187	0.422459893048128	0.262032085561497	Down	0.013	0.0600609756097561	0.003	0.00321895424836601	0.761717289203901	-0.720730094946065	-1	39.0502119694569
PHF6	190	0.463157894736842	0.194736842105263	Down	0.012	0.0600609756097561	0.008	0.008	0.788414784575598	-0.679213723563273	-1	40.4264432621327
