NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
RTF1	191	0.586387434554974	0.261780104712042	Down	0.004	0.0164166666666667	0.001	0.001	1.25000302155307	-1.28183321724372	-1	52.9144721364978
SLBP	196	0.306122448979592	0.530612244897959	Up	0.006	0.023554347826087	0.001	0.001	1.18193154103434	1.34230940714506	1	45.6356282448921
EIF3G	192	0.572916666666667	0.3125	Down	0.006	0.023554347826087	0.001	0.001	1.33215672828439	-1.25061813893887	-1	51.4377544816696
SNRNP200	195	0.461538461538462	0.328205128205128	Down	0.006	0.023554347826087	0.002	0.002	1.15241089998617	-1.13273378983397	-1	44.4954566858647
RBM22	194	0.427835051546392	0.391752577319588	Down	0.006	0.023554347826087	0.001	0.001	1.09780726675629	-1.08977898366876	-1	42.3865082546063
DDX24	197	0.33502538071066	0.522842639593909	Up	0.007	0.0261326530612245	0.001	0.001	0.831954773348649	0.822472783674533	1	31.2280845543908
RBM17	186	0.311827956989247	0.516129032258065	Up	0.007	0.0261326530612245	0.001	0.001	1.61184322837075	1.91514270374072	1	60.5148926603901
CCAR2	178	0.398876404494382	0.398876404494382	Down	0.007	0.0261326530612245	0.001	0.001	1.36956439378809	-1.28498098816119	-1	51.4167021552284
SMNDC1	196	0.280612244897959	0.61734693877551	Up	0.009	0.0328333333333333	0.001	0.001	0.853813500801069	0.852542485515744	1	30.0408439473493
TAF15	192	0.260416666666667	0.526041666666667	Up	0.009	0.0328333333333333	0.002	0.002	1.26254260547084	1.32893432546139	1	44.4283745086994
UTP18	191	0.303664921465969	0.49738219895288	Up	0.01	0.0346574074074074	0.001	0.001	1.13767571195701	1.17584901119685	1	39.3991879175094
ASCC1	191	0.481675392670157	0.382198952879581	Down	0.01	0.0346574074074074	0.001	0.001	0.892561214788612	-0.770030468472414	-1	30.9075495090409
PRPF6	193	0.50259067357513	0.341968911917098	Down	0.01	0.0346574074074074	0.001	0.001	1.20864992459366	-1.14039777240165	-1	41.8579872011036
NPM1	188	0.51063829787234	0.26063829787234	Down	0.011	0.0362894736842105	0.001	0.001	1.30055392787905	-1.36196563079131	-1	44.4252273919488
SSB	189	0.238095238095238	0.619047619047619	Up	0.011	0.0362894736842105	0.002	0.002	1.22313875085367	1.23136125418605	1	41.7799956283652
TRA2A	197	0.213197969543147	0.654822335025381	Up	0.011	0.0362894736842105	0.002	0.002	0.814063390481815	0.819413778483372	1	27.8021274824305
ADAR	174	0.270114942528736	0.488505747126437	Up	0.012	0.0390603448275862	0.001	0.001	1.67201368748205	1.89163198053532	1	55.8501604760227
AATF	193	0.295336787564767	0.533678756476684	Up	0.013	0.0417372881355932	0.001	0.001	0.971790868673099	0.911305521978928	1	31.7910875804742
AKAP8	192	0.291666666666667	0.567708333333333	Up	0.014	0.0428951612903226	0.002	0.002	1.35448139707156	1.36107090530325	1	43.9339887070725
FASTKD2	190	0.236842105263158	0.6	Up	0.014	0.0428951612903226	0.001	0.001	1.13801898508593	1.04819302064659	1	36.9105801851837
HNRNPC	196	0.494897959183673	0.352040816326531	Down	0.014	0.0428951612903226	0.003	0.003	1.11389286251784	-1.13772688786815	-1	36.1277763104118
DNAJC21	190	0.521052631578947	0.310526315789474	Down	0.016	0.0469769230769231	0.001	0.001	1.41971855040798	-1.3619132280037	-1	44.7210138088322
TIAL1	188	0.324468085106383	0.531914893617021	Up	0.016	0.0469769230769231	0.001	0.001	1.21035156468034	1.28696754272607	1	38.1239147431286
PKM	186	0.413978494623656	0.376344086021505	Down	0.016	0.0469769230769231	0.001	0.001	1.32371318664875	-1.32625893397674	-1	41.6959098586686
SUCLG1	192	0.276041666666667	0.567708333333333	Up	0.017	0.0485149253731343	0.001	0.001	1.1847679019263	1.26900263392281	1	36.9245156491894
G3BP1	197	0.34010152284264	0.49238578680203	Up	0.017	0.0485149253731343	0.001	0.001	1.0558981125702	1.07902382711585	1	32.90663847165
ZC3H8	194	0.298969072164948	0.54639175257732	Up	0.019	0.0528188405797101	0.001	0.001	0.862653007363251	0.851688872166443	1	26.1261874892329
PES1	194	0.350515463917526	0.474226804123711	Up	0.019	0.0528188405797101	0.002	0.002	0.939080626903236	0.920000416362414	1	28.4420992685677
DDX3X	188	0.553191489361702	0.303191489361702	Down	0.02	0.0541056338028169	0.001	0.001	1.06267638626219	-1.04916464759108	-1	31.9237428472352
UCHL5	197	0.319796954314721	0.548223350253807	Up	0.02	0.0541056338028169	0.001	0.001	0.88309545799682	0.873745105200789	1	26.5266152909953
HNRNPA1	183	0.311475409836066	0.530054644808743	Up	0.022	0.0580205479452055	0.001	0.001	1.70207142123611	2.02133060517593	1	49.9149694381191
SUPV3L1	193	0.440414507772021	0.373056994818653	Down	0.022	0.0580205479452055	0.001	0.001	1.10062726260267	-1.12150385293632	-1	32.2720815868594
FUS	189	0.386243386243386	0.518518518518518	Up	0.023	0.0598986486486486	0.001	0.001	1.13806928010367	1.19196990497873	1	32.9968511700427
TBRG4	190	0.347368421052632	0.431578947368421	Up	0.024	0.0617266666666667	0.001	0.001	1.13631291430112	1.22715290144123	1	32.5939322089207
FUBP3	187	0.310160427807487	0.475935828877005	Up	0.025	0.0635065789473684	0.001	0.001	1.1817122649605	1.25466293359231	1	33.5505885339671
HLTF	192	0.291666666666667	0.588541666666667	Up	0.026	0.0652402597402597	0.001	0.001	0.975140384829733	0.97700752867114	1	27.4126507432141
U2AF2	189	0.481481481481481	0.380952380952381	Down	0.028	0.0694551282051282	0.002	0.002	1.03902289267214	-0.875619944109479	-1	28.5391706368917
RBFOX2	183	0.306010928961749	0.486338797814208	Up	0.03	0.07264375	0.001	0.001	1.18668910635759	1.2456375123693	1	32.0483077338207
BOP1	190	0.331578947368421	0.457894736842105	Up	0.03	0.07264375	0.001	0.001	1.47512451471882	1.62012742609823	1	39.8413257339759
CSTF2	183	0.262295081967213	0.568306010928962	Up	0.031	0.074179012345679	0.001	0.001	1.36007227940112	1.42808987225011	1	36.4397336749751
AUH	191	0.513089005235602	0.31413612565445	Down	0.033	0.0780792682926829	0.002	0.002	1.12910706274753	-1.06890224751963	-1	29.653066298072
ATP5C1	197	0.375634517766497	0.482233502538071	Up	0.034	0.0785654761904762	0.001	0.001	0.972325484533733	0.99116770991072	1	25.4714753232158
HNRNPA2B1	193	0.367875647668394	0.507772020725389	Up	0.034	0.0785654761904762	0.001	0.001	1.20594932325062	1.23587392116102	1	31.5949415008601
PARN	187	0.347593582887701	0.438502673796791	Up	0.036	0.0822764705882353	0.001	0.001	1.20515350762525	1.27206437920259	1	31.0009781765075
SRSF5	194	0.283505154639175	0.54639175257732	Up	0.037	0.0836104651162791	0.001	0.001	0.847778634758154	0.806308775137732	1	21.6633531904018
RAVER1	190	0.452631578947368	0.421052631578947	Down	0.038	0.0849137931034483	0.001	0.001	1.09182392023129	-0.957480396389795	-1	27.7294655090831
MATR3	192	0.494791666666667	0.317708333333333	Down	0.041	0.0906647727272727	0.001	0.001	1.12662892906724	-0.903593137894576	-1	27.8531372222175
DDX1	181	0.419889502762431	0.386740331491713	Down	0.046	0.0985	0.001	0.001	1.39597733738759	-1.34804092266277	-1	33.3232163405042
EIF2S1	198	0.343434343434343	0.535353535353535	Up	0.045	0.0985	0.001	0.001	0.929675916548863	0.942694895972303	1	22.1875293465656
LSM11	184	0.320652173913043	0.489130434782609	Up	0.046	0.0985	0.001	0.001	1.46982574471666	1.27911380493534	1	35.0867810912577
SART3	187	0.32620320855615	0.433155080213904	Up	0.047	0.099570652173913	0.001	0.001	1.4545968753712	1.45108375173139	1	34.561071209147
RBM25	192	0.317708333333333	0.53125	Up	0.049	0.102736559139785	0.001	0.001	0.904615332914571	0.88429374674915	1	21.1965442329784
NSUN2	196	0.316326530612245	0.551020408163265	Up	0.053	0.110026595744681	0.001	0.001	1.14239396130478	1.21293472328605	1	25.9647909635084
UPF2	182	0.351648351648352	0.478021978021978	Up	0.056	0.115089473684211	0.001	0.001	1.37597087779707	1.47187304520975	1	30.6386551037856
TRIM56	195	0.353846153846154	0.528205128205128	Up	0.057	0.115942708333333	0.001	0.001	1.24155254656385	1.42568501962492	1	27.549718157618
SF3B4	189	0.497354497354497	0.365079365079365	Down	0.064	0.128963917525773	0.002	0.002	1.13868041042807	-1.06608005135284	-1	24.0170782332382
EFTUD2	196	0.469387755102041	0.413265306122449	Down	0.068	0.134318181818182	0.001	0.001	0.982920206201842	-0.94701760219216	-1	20.3178883579368
GEMIN5	193	0.326424870466321	0.538860103626943	Up	0.068	0.134318181818182	0.002	0.002	0.889655600186392	0.830162803814088	1	18.3886975530893
PA2G4	193	0.440414507772021	0.336787564766839	Down	0.07	0.136915	0.002	0.002	1.15085261686623	-0.950537956950395	-1	23.5645251451184
HNRNPAB	185	0.345945945945946	0.464864864864865	Up	0.071	0.137509900990099	0.001	0.001	1.30259364098433	1.09193727811458	1	26.6151786130722
LIN28B	187	0.304812834224599	0.502673796791444	Up	0.073	0.140024509803922	0.001	0.001	1.07761852172975	1.15247518845808	1	21.8147650602597
SBDS	187	0.27807486631016	0.513368983957219	Up	0.075	0.141120192307692	0.001	0.001	1.20904679012951	1.31658924466277	1	24.3799326194221
SUPT6H	192	0.276041666666667	0.583333333333333	Up	0.075	0.141120192307692	0.002	0.002	1.50001590017574	1.49126841386702	1	30.2505618878201
CCAR1	190	0.294736842105263	0.505263157894737	Up	0.077	0.142174528301887	0.001	0.001	0.815707306190313	0.775261306752854	1	16.3813053460924
RPS3A	183	0.437158469945355	0.355191256830601	Down	0.077	0.142174528301887	0.002	0.002	1.56195531446688	-1.36058118727132	-1	31.3804654509765
SRP68	192	0.359375	0.484375	Up	0.079	0.144528037383178	0.001	0.001	0.876976464791477	0.955637558523743	1	17.4644244946812
EIF4B	197	0.451776649746193	0.395939086294416	Down	0.08	0.145013888888889	0.002	0.002	1.04786316730764	-1.08936804405358	-1	20.8340070797688
MSI2	193	0.435233160621762	0.435233160621762	Down	0.081	0.145490825688073	0.001	0.001	1.1523309191056	-1.12607321102985	-1	22.8734784429955
RBM15	194	0.376288659793814	0.5	Up	0.082	0.145959090909091	0.001	0.001	1.06284894846861	1.1419687528455	1	21.0610105172351
RRP9	188	0.367021276595745	0.5	Up	0.089	0.157067567567568	0.001	0.001	1.53672309982009	1.73817203960009	1	29.2959243500101
CKAP4	195	0.512820512820513	0.333333333333333	Down	0.106	0.185566964285714	0.001	0.001	1.17514272152602	-1.05462172142864	-1	20.3805750389008
XRCC5	190	0.468421052631579	0.378947368421053	Down	0.136	0.236225663716814	0.002	0.002	1.34296409653148	-1.18411681103149	-1	19.9531216805017
CIRBP	197	0.360406091370558	0.467005076142132	Up	0.139	0.239337719298246	0.001	0.001	1.02622404241202	0.974745005310956	1	15.1054673089393
PPIL4	193	0.357512953367876	0.455958549222798	Up	0.142	0.242395652173913	0.001	0.001	1.13375995678448	0.862551881480441	1	16.5414894136219
TIA1	196	0.331632653061224	0.5	Up	0.145	0.245400862068965	0.001	0.001	0.822389279395358	0.757109098661724	1	11.8903695758154
SUB1	195	0.302564102564103	0.523076923076923	Up	0.15	0.247491596638655	0.001	0.001	0.836775544947735	0.78721359760863	1	12.0254703383813
CPSF7	176	0.369318181818182	0.477272727272727	Up	0.149	0.247491596638655	0.001	0.001	1.85257028583705	2.22902769425045	1	26.6405926286186
TFIP11	196	0.413265306122449	0.377551020408163	Down	0.148	0.247491596638655	0.001	0.001	1.12654437015109	-1.08698620433868	-1	16.1946264146746
TROVE2	195	0.374358974358974	0.502564102564103	Up	0.155	0.2536375	0.001	0.001	0.949619020737415	0.883868235853101	1	13.409036870054
FIP1L1	188	0.361702127659574	0.49468085106383	Up	0.165	0.267822314049587	0.001	0.001	1.12624179527926	1.13192946035835	1	15.2741342588599
U2AF1	182	0.346153846153846	0.483516483516484	Up	0.17	0.269286290322581	0.001	0.001	1.25824572049918	1.43908155699443	1	16.9953369015212
RBM34	191	0.445026178010471	0.371727748691099	Down	0.169	0.269286290322581	0.001	0.001	0.886368504948609	-0.976485303501227	-1	11.9682066116797
KIF1C	195	0.338461538461538	0.517948717948718	Up	0.17	0.269286290322581	0.001	0.001	1.30666900985231	1.37111665529237	1	17.6499351787522
KHSRP	195	0.282051282051282	0.507692307692308	Up	0.197	0.309684	0.002	0.002	1.1745972146618	1.33292178332299	1	14.1728721414359
PSIP1	187	0.320855614973262	0.46524064171123	Up	0.204	0.318170634920635	0.001	0.001	0.944096611927042	0.878075935929015	1	11.1258871382919
CELF1	189	0.386243386243386	0.502645502645503	Up	0.216	0.33320703125	0.001	0.001	1.35171357556489	1.53029678261039	1	15.2924230010197
IGF2BP2	193	0.341968911917098	0.466321243523316	Up	0.217	0.33320703125	0.001	0.001	0.943924330063361	0.942353322852324	1	10.6747486443049
MTPAP	187	0.363636363636364	0.475935828877005	Up	0.219	0.333678294573643	0.001	0.001	1.32926842363633	1.58228463740669	1	15.0189038471053
QKI	196	0.474489795918367	0.362244897959184	Down	0.225	0.340203846153846	0.002	0.002	1.05961735316203	-0.950617152701729	-1	11.7579329735923
