NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
RTF1	191	0.246073298429319	0.450261780104712	Up	0.069	0.236060344827586	0.006	0.00732094594594595	0.909196975386857	0.994168331039416	1	29.3396615219108
HNRNPU	195	0.4	0.256410256410256	Down	0.073	0.238041666666667	0.004	0.00574583333333333	0.780965327068716	-0.76902617558163	-1	24.9812029555155
PUM2	187	0.39572192513369	0.224598930481283	Down	0.072	0.238041666666667	0.003	0.00487623762376238	0.830979010474658	-0.865002939288715	-1	26.6137109382987
PHF6	190	0.384210526315789	0.205263157894737	Down	0.081	0.258959677419355	0.018	0.0190469613259668	1.12618745619935	-1.02441811735057	-1	34.0925233299703
SUPV3L1	193	0.383419689119171	0.248704663212435	Down	0.082	0.258959677419355	0.001	0.0023452380952381	0.918424327228216	-0.881356446309462	-1	27.7088393742512
PRPF6	193	0.27979274611399	0.398963730569948	Up	0.085	0.264230158730159	0.006	0.00732094594594595	0.87304383352654	0.851644643442173	1	25.9144583127999
EFTUD2	196	0.438775510204082	0.25	Down	0.087	0.2662578125	0.006	0.00732094594594595	0.777318484694096	-0.761294803331177	-1	22.8819481656187
PRPF8	189	0.354497354497354	0.28042328042328	Down	0.094	0.274917910447761	0.003	0.00487623762376238	0.863690014074636	-0.730628692523204	-1	24.8525084921766
EIF2S1	198	0.494949494949495	0.171717171717172	Down	0.093	0.274917910447761	0.008	0.00929245283018868	0.744100790810668	-0.782986143539511	-1	21.3406720009414
BCCIP	181	0.397790055248619	0.187845303867403	Down	0.094	0.274917910447761	0.003	0.00487623762376238	1.11277043025033	-1.07360341672361	-1	32.1669610064061
EXOSC9	193	0.38860103626943	0.176165803108808	Down	0.097	0.279566176470588	0.004	0.00574583333333333	0.684587362761868	-0.70995260841783	-1	19.3319800961955
TIAL1	188	0.393617021276596	0.212765957446809	Down	0.103	0.292644927536232	0.002	0.00399324324324324	0.864095339878983	-0.852113268403244	-1	23.6364757294778
G3BP1	197	0.294416243654822	0.274111675126904	Down	0.117	0.327864285714286	0.001	0.0023452380952381	0.840873165359562	-1.0048352050118	-1	20.8144280710089
NELFE	193	0.336787564766839	0.409326424870466	Up	0.123	0.339894366197183	0.002	0.00399324324324324	0.898155822877588	0.987105335735186	1	21.5311047719428
IGF2BP3	191	0.413612565445026	0.219895287958115	Down	0.126	0.343381944444444	0.002	0.00399324324324324	0.866619084859092	-0.934254113846927	-1	20.5559723694786
XPO5	191	0.172774869109948	0.476439790575916	Up	0.136	0.360722972972973	0.03	0.0302682291666667	0.882695103777477	0.977002017352582	1	19.9577818071711
AARS	190	0.257894736842105	0.415789473684211	Up	0.136	0.360722972972973	0.002	0.00399324324324324	0.889317537692176	0.866153044720225	1	20.111345139142
UTP18	191	0.356020942408377	0.198952879581152	Down	0.139	0.363793333333333	0.003	0.00487623762376238	0.810049457067544	-0.912455602242239	-1	18.1171118059544
CPSF6	196	0.433673469387755	0.163265306122449	Down	0.141	0.364190789473684	0.012	0.0130953757225434	0.947209540359813	-0.979545581865631	-1	21.2476690797447
PA2G4	193	0.238341968911917	0.295336787564767	Up	0.143	0.364577922077922	0.024	0.024625	0.968503436591348	0.789317527377338	1	21.7134059341882
PUF60	178	0.365168539325843	0.286516853932584	Down	0.149	0.375057692307692	0.002	0.00399324324324324	0.951304937780317	1.01058813153765	1	20.705655409617
RBM15	194	0.355670103092784	0.242268041237113	Down	0.154	0.382778481012658	0.004	0.00574583333333333	0.746988673477902	-0.712678012578611	-1	15.8028176061036
TROVE2	195	0.420512820512821	0.205128205128205	Down	0.161	0.38294387755102	0.004	0.00574583333333333	0.911271785026774	-0.909611081091127	-1	19.381598777652
SUCLG1	192	0.380208333333333	0.213541666666667	Down	0.19	0.38294387755102	0.004	0.00574583333333333	0.922573872193675	-1.04962225053097	-1	19.6283109269612
CNOT7	192	0.401041666666667	0.166666666666667	Down	0.184	0.38294387755102	0.011	0.0121676470588235	0.969299916937789	-1.02411998914261	-1	20.6482891626006
TARDBP	193	0.409326424870466	0.202072538860104	Down	0.187	0.38294387755102	0.004	0.00574583333333333	0.807226788840289	-0.77063836941275	-1	17.1104107877726
RBFOX2	183	0.344262295081967	0.153005464480874	Down	0.191	0.38294387755102	0.005	0.00661567164179104	0.890088064877892	-0.982697751538052	-1	18.9191814337475
U2AF1	182	0.384615384615385	0.208791208791209	Down	0.168	0.38294387755102	0.005	0.00661567164179104	0.800574492757272	-0.746715238745155	-1	16.965198470769
NCBP2	188	0.196808510638298	0.356382978723404	Up	0.168	0.38294387755102	0.021	0.0217123655913978	0.738352354381253	0.686231691155328	1	15.606957531138
FIP1L1	188	0.420212765957447	0.212765957446809	Down	0.179	0.38294387755102	0.006	0.00732094594594595	0.758203617514496	-0.730574040641869	-1	16.0402888018831
LIN28B	187	0.443850267379679	0.160427807486631	Down	0.177	0.38294387755102	0.006	0.00732094594594595	0.859573056540254	-0.875029400389091	-1	18.2530723176176
TAF15	192	0.359375	0.197916666666667	Down	0.182	0.38294387755102	0.004	0.00574583333333333	1.04879047794383	-0.87479773027907	-1	22.3834808016305
PCBP2	197	0.365482233502538	0.33502538071066	Down	0.165	0.38294387755102	0.002	0.00399324324324324	0.811166735335557	-0.778601482699453	-1	17.19641549236
TIA1	196	0.469387755102041	0.112244897959184	Down	0.18	0.38294387755102	0.021	0.0217123655913978	0.906995089717884	-0.919664412713784	-1	19.2882432163282
XRN2	193	0.419689119170984	0.145077720207254	Down	0.175	0.38294387755102	0.011	0.0121676470588235	0.877828083476473	-0.851805636032939	-1	18.6515595053931
ABCF1	198	0.388888888888889	0.323232323232323	Down	0.18	0.38294387755102	0.005	0.00661567164179104	1.06667037165828	1.24075155123205	1	22.773779243199
RPS3A	183	0.245901639344262	0.409836065573771	Up	0.189	0.38294387755102	0.001	0.0023452380952381	1.0095465972489	0.946510090203984	1	21.5268299892183
GRSF1	192	0.40625	0.229166666666667	Down	0.187	0.38294387755102	0.003	0.00487623762376238	0.974549036341285	-0.998501665677584	-1	20.7628716738566
TRA2A	197	0.467005076142132	0.137055837563452	Down	0.158	0.38294387755102	0.019	0.0199153005464481	0.837117553339688	-0.782957566143353	-1	17.7628933465462
HLTF	192	0.390625	0.161458333333333	Down	0.189	0.38294387755102	0.006	0.00732094594594595	0.873248455051939	-0.961818071635415	-1	18.5515912468786
GPKOW	196	0.428571428571429	0.153061224489796	Down	0.16	0.38294387755102	0.013	0.0141522988505747	0.785454992003406	-0.818648657095238	-1	16.6351563756777
SUB1	195	0.435897435897436	0.138461538461538	Down	0.199	0.389123762376238	0.008	0.00929245283018868	0.889984570567674	-0.883161272332398	-1	18.5929053552819
LARP7	194	0.154639175257732	0.448453608247423	Up	0.2	0.389123762376238	0.083	0.083	0.812785117010044	-0.765541005990536	-1	16.9358321003319
EIF4B	197	0.416243654822335	0.243654822335025	Down	0.199	0.389123762376238	0.006	0.00732094594594595	0.77089164014406	-0.723970166720385	-1	16.0365956825551
SFPQ	188	0.425531914893617	0.164893617021277	Down	0.203	0.391102941176471	0.006	0.00732094594594595	1.07768009100977	-1.17308024234897	-1	22.4974194758322
PARN	187	0.320855614973262	0.171122994652406	Down	0.223	0.425558252427184	0.003	0.00487623762376238	1.0880213703054	-1.03408320922248	-1	20.6290942181535
RECQL	195	0.430769230769231	0.148717948717949	Down	0.234	0.433957547169811	0.032	0.032	0.955104807707612	-0.952963476470906	-1	17.6220842245166
BOP1	190	0.294736842105263	0.263157894736842	Down	0.234	0.433957547169811	0.001	0.0023452380952381	0.87396793433488	-0.950528461201439	-1	16.0817106352931
UTP3	187	0.358288770053476	0.283422459893048	Down	0.23	0.433957547169811	0.003	0.00487623762376238	1.0001286892051	-0.918171362587357	-1	18.4768570923897
BUD13	191	0.340314136125654	0.282722513089005	Down	0.244	0.44831308411215	0.001	0.0023452380952381	0.77593936744429	-0.87677930916038	-1	13.6463558528951
CSTF2	183	0.333333333333333	0.169398907103825	Down	0.248	0.451458333333333	0.001	0.0023452380952381	0.777492270919547	-0.818455149120189	-1	13.5510730621506
RBM25	192	0.411458333333333	0.197916666666667	Down	0.279	0.464953389830508	0.005	0.00661567164179104	0.7004963708404	-0.64638323357028	-1	11.6893285130594
SBDS	187	0.368983957219251	0.128342245989305	Down	0.269	0.464953389830508	0.005	0.00661567164179104	0.895540866709268	-0.95943556578748	-1	15.0862087295958
