NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
XRCC6	190	0.273684210526316	0.373684210526316	Up	0.052	0.496362745098039	0.008	0.0232569444444444	0.846405832780314	0.839168137429238	1	82.6052695135919
SND1	195	0.533333333333333	0.117948717948718	Down	0.075	0.496362745098039	0.037	0.0413247126436782	0.805847105332617	-0.77569121602181	-1	78.5954507890753
KRR1	191	0.335078534031414	0.240837696335079	Down	0.115	0.496362745098039	0.012	0.0238473684210526	0.847877335862246	-0.735703324475312	-1	82.7507489450835
RBFOX2	183	0.109289617486339	0.382513661202186	Up	0.129	0.496362745098039	0.019	0.0274022556390977	0.815866624179193	0.894192386567988	1	79.5860256125447
AKAP1	195	0.276923076923077	0.38974358974359	Up	0.065	0.496362745098039	0.004	0.0229833333333333	0.727881594931814	0.77327202484209	1	70.8874287887601
NCBP2	188	0.521276595744681	0.159574468085106	Down	0.1	0.496362745098039	0.058	0.0612297297297297	0.784348602577901	-0.793317106083223	-1	76.4700118436326
AUH	191	0.178010471204188	0.450261780104712	Up	0.076	0.496362745098039	0.009	0.0232569444444444	0.653277565939833	0.615050654778165	1	63.5117380015628
XPO5	191	0.549738219895288	0.141361256544503	Down	0.094	0.496362745098039	0.049	0.0527872928176796	0.729619636921497	-0.658964509032989	-1	71.0592594588228
FAM120A	197	0.65989847715736	0.050761421319797	Down	0.124	0.496362745098039	0.102	0.102017857142857	0.821334264186462	-0.838013620095552	-1	80.1265811639568
FIP1L1	188	0.170212765957447	0.50531914893617	Up	0.11	0.496362745098039	0.012	0.0238473684210526	0.652643197051932	0.672452842424993	1	63.4490214321577
HNRNPK	194	0.649484536082474	0.118556701030928	Down	0.088	0.496362745098039	0.036	0.0406598837209302	0.751989180467165	-0.759525992483239	-1	73.2708134254501
SF1	188	0.276595744680851	0.25	Down	0.073	0.496362745098039	0.005	0.0230531914893617	0.850260596168577	-0.903071759934928	-1	82.9863688080106
FASTKD2	190	0.394736842105263	0.210526315789474	Down	0.074	0.496362745098039	0.008	0.0232569444444444	0.723246383675207	-0.695239015790424	-1	70.4291708980805
PCBP2	197	0.390862944162437	0.289340101522843	Down	0.062	0.496362745098039	0.012	0.0238473684210526	0.675372953127849	-0.723387126392398	-1	65.6961876341654
PUM1	192	0.458333333333333	0.177083333333333	Down	0.075	0.496362745098039	0.032	0.0365029411764706	0.850429093845616	-0.850910446933007	-1	83.0030272483253
HNRNPM	179	0.35195530726257	0.223463687150838	Down	0.121	0.496362745098039	0.009	0.0232569444444444	0.709061082132702	-0.640958853547925	-1	69.026748008669
SAFB2	187	0.20855614973262	0.390374331550802	Up	0.089	0.496362745098039	0.003	0.0229833333333333	0.800844502508579	0.88030833828869	1	78.1008709110203
