ConsRank	ConsScore	mean	median	sum	wilcoxon	stouffer	reporter	tailStrength	gsea	fgsea	page
ATP5C1	91	81.5	128	140	1	1	98	98	103	65	65	65
NUFIP2	92	82	68	50	1	1	105	106	67	96	96	117
STAU1	92	82	82	111	1	1	82	80	80	96	96	103
PUM1	94	82.5	57	56	1	1	99	100	69	96	96	150
SUPV3L1	94	82.5	86	86	1	1	93	93	84	81	81	81
DDX3X	96	84	69	75	1	1	83	85	93	96	96	125
SF3B4	97	87	76	64	1	1	89	88	104	89	89	86
HNRNPAB	97	87	95	136	1	1	91	89	82	85	85	99
DDX28	99	87.5	121	101	1	1	107	107	121	73	73	74
FKBP4	99	87.5	80	77	1	1	95	95	62	96	96	137
NELFE	101	88	78	81	1	1	96	96	72	96	96	95
TARDBP	102	88.5	147	140	1	1	114	114	139	54	55	63
SUPT6H	103	89.5	81	82	1	1	112	112	83	96	96	155
KRR1	104	91	89	73	1	1	103	102	101	91	91	91
EIF4G1	104	91	88	72	1	1	94	94	87	96	96	127
FIP1L1	106	92	147	140	1	1	131	132	147	51	50	53
DAZAP1	107	94	92	74	1	1	115	115	90	96	96	143
HNRNPUL1	108	94.5	108	95	1	1	109	110	115	94	94	92
EEF2	108	94.5	87	97	1	1	104	103	85	95	95	94
PUS1	108	94.5	93	83	1	1	121	121	91	96	96	165
RBM34	111	96	96	80	1	1	113	113	136	96	96	107
SFPQ	112	96.5	123	100	1	1	117	118	127	93	93	88
SSRP1	113	98	100	127	1	1	110	108	74	96	96	130
CSTF2T	114	98.5	102	121	1	1	102	101	96	96	96	116
MATR3	114	98.5	101	94	1	1	132	131	119	96	96	119
CNOT7	116	99	120	98	1	1	119	120	122	96	96	100
FUS	117	99.5	114	114	1	1	111	111	114	88	88	87
AKAP8L	118	100.5	111	88	1	1	122	119	105	96	96	158
HNRNPA2B1	119	102	112	93	1	1	125	124	109	96	96	108
BCLAF1	120	102.5	104	132	1	1	101	104	106	96	96	124
ILF3	121	103.5	107	117	1	1	123	122	100	96	96	159
DKC1	121	103.5	122	91	1	1	140	140	111	96	96	150
TAF15	123	104	103	118	1	1	106	105	108	96	96	126
MTPAP	123	104	136	110	1	1	130	130	134	96	96	98
AUH	125	105	105	105	1	1	124	125	112	96	96	121
SART3	125	105	133	96	1	1	138	137	141	96	96	114
CKAP4	127	106	124	108	1	1	126	126	117	96	96	104
PA2G4	128	108.5	129	113	1	1	108	109	124	96	96	111
RBFOX2	128	108.5	134	132	1	1	120	123	148	92	92	97
QKI	130	109	125	112	1	1	127	127	131	96	96	106
BOP1	131	111	115	131	1	1	118	117	107	96	96	147
TBRG4	132	111.5	127	92	1	1	137	138	128	96	96	162
FUBP3	132	111.5	119	104	1	1	138	136	133	96	96	160
XRN2	134	112	147	140	1	1	144	143	149	82	82	84
FTO	135	113	110	116	1	1	129	129	123	96	96	164
METAP2	136	114	142	140	1	1	135	135	132	90	90	96
SF3A3	137	114.5	126	109	1	1	134	133	129	96	96	120
TROVE2	138	115	147	140	1	1	141	141	144	86	86	90
GPKOW	139	116	131	121	1	1	116	116	120	96	96	129
SUB1	140	121	147	140	1	1	143	145	165	96	96	102
KHSRP	140	121	138	132	1	1	142	142	135	96	96	110
NONO	142	122	137	107	1	1	146	146	138	96	96	149
EWSR1	142	122	132	132	1	1	136	139	143	96	96	112
SRFBP1	144	123	134	136	1	1	128	128	140	96	96	118
EXOSC9	145	127.5	147	140	1	1	170	178	168	96	96	115
CSTF2	145	127.5	147	140	1	1	133	134	156	96	96	122
HNRNPA1	147	128	139	126	1	1	149	150	130	96	96	163
DHX30	148	130	147	124	1	1	151	151	168	96	96	136
PCBP1	149	132.5	143	128	1	1	175	174	137	96	96	185
KIF1C	149	132.5	140	140	1	1	148	148	125	96	96	166
PABPC4	151	134	147	140	1	1	151	153	168	96	96	128
UCHL5	152	136	147	140	1	1	161	160	168	96	96	132
CCAR1	153	136.5	144	140	1	1	150	149	168	96	96	133
ZC3H8	154	137	147	140	1	1	154	152	162	96	96	134
SBDS	155	137.5	147	140	1	1	153	154	165	96	96	135
PSIP1	156	139.5	147	140	1	1	166	163	155	96	96	139
LSM11	157	140	147	140	1	1	145	144	142	96	96	140
GRSF1	157	140	140	140	1	1	147	147	145	96	96	157
DDX52	159	140.5	147	140	1	1	159	158	160	96	96	141
SRP68	160	141	147	140	1	1	170	174	168	96	96	142
UTP18	161	142	144	140	1	1	158	155	158	96	96	168
RBM15	161	142	144	140	1	1	156	157	151	96	96	144
IGF2BP3	163	142.5	147	140	1	1	168	171	168	96	96	145
AKAP1	164	143	147	140	1	1	165	169	146	96	96	185
ZRANB2	164	143	147	140	1	1	166	167	168	96	96	146
AKAP8	166	143.5	147	140	1	1	160	160	153	96	96	180
RPS10	166	143.5	147	140	1	1	175	167	152	96	96	181
HNRNPU	166	143.5	147	140	1	1	175	172	161	96	96	185
CIRBP	166	143.5	147	140	1	1	155	155	159	96	96	172
SLBP	166	143.5	147	140	1	1	175	178	168	96	96	185
RBM25	166	143.5	147	140	1	1	175	178	168	96	96	181
RRP9	166	143.5	147	140	1	1	164	163	150	96	96	167
