NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
SSB	189	Down	0.0252599726040971	0.0487864176765404	0.658697070477729	-0.785557306717635	-1	9.1603829183412
FTO	192	Down	0.0265351596461491	0.050751713109625	0.727461634562013	-0.835164124271231	-1	9.99474966457811
DDX24	197	Down	0.027496605463318	0.0520849161180158	0.566167590364509	-0.635123466540316	-1	7.68472530720804
LARP4	189	Down	0.0280915195680221	0.0527050414752415	0.697015119389756	-0.795321544073127	-1	9.44889292131012
PUM1	192	Down	0.0307541387301478	0.0571562766965955	0.839334248632061	-0.947024880987872	-1	11.084431119561
PABPC4	195	Down	0.0333620872785208	0.0614236560174636	0.55608506009834	-0.549845163281478	-1	7.11824505233838
HLTF	192	Down	0.0342020539276804	0.0623870798495653	0.643965554449081	-0.621460193503204	-1	8.21463861963475
DDX19B	193	Down	0.0375333965578194	0.0678355882742241	0.614495015293992	-0.662710475669784	-1	7.59355401124868
SF3B1	185	Down	0.0392002842215928	0.0702041453786707	0.809295038327821	-0.914955566716618	-1	9.90777118735116
FKBP4	197	Down	0.0401967214209343	0.0713401272065231	0.84194438938409	-0.980165638410402	-1	10.2491152284977
U2AF1	182	Down	0.0416330635856003	0.0732295850568149	0.750230216962275	-0.83012310410834	-1	9.02868985150089
SBDS	187	Down	0.04278601186931	0.0732942985935137	0.630771783811322	-0.701462415452575	-1	7.57013175644493
SRP68	192	Down	0.0421007311097608	0.0732942985935137	0.634592145391298	-0.680340787485354	-1	7.61667862209797
KIF1C	195	Down	0.0424169037552614	0.0732942985935137	0.710929641331098	-0.768045982171507	-1	8.54676628354404
LIN28B	187	Down	0.0475455399692582	0.0807454428788264	0.634822916738253	-0.676456105524318	-1	7.33293192232542
GPKOW	196	Down	0.0487145138892263	0.0820235832151931	0.751911451024046	-0.67439837269578	-1	8.65161497224469
RRP9	188	Down	0.0520840606034573	0.0869538977871278	0.835597414713096	-0.99812332537684	-1	9.39992841218226
HNRNPK	194	Down	0.0586160582035647	0.0970366677823718	0.649472175210938	-0.73404067230341	-1	6.94828833232098
FAM120A	197	Up	0.0616680497328648	0.101196318506081	0.612058577632698	0.574799529776783	1	6.4216166044843
UCHL5	197	Down	0.0621561144123646	0.101196318506081	0.468886267926496	-0.472317364690454	-1	4.892547252802
SUCLG1	192	Down	0.0701491669688814	0.113273654859587	0.775318679424844	-0.854743204002923	-1	7.75767674858539
EIF4G1	188	Down	0.0727670035353783	0.116545525987557	0.838912938295612	-0.887025917172852	-1	8.29205541511886
UPF2	182	Down	0.0745034428612936	0.118364340674797	0.9343592476941	-0.945148479553634	-1	9.18111276371532
IGF2BP3	191	Down	0.075909439594474	0.119633276800891	0.666652762185721	-0.731469546582282	-1	6.48447263841229
SMNDC1	196	Down	0.0773990376594001	0.121012781102395	0.470387024448655	-0.546924386189656	-1	4.51637647355876
LARP7	194	Up	0.0814625101490743	0.126363106294233	0.619547542956935	0.486095899626215	1	5.86006523350112
CPSF6	196	Down	0.0844699281221261	0.13000449875046	0.588513114566926	-0.622007848589692	-1	5.48280475648427
G3BP1	197	Down	0.0851417494071223	0.130022671575218	0.628057859836924	-0.818767116745201	-1	5.85854443174547
TAF15	192	Down	0.0951329464002702	0.144163003391179	0.809536323168622	-0.894737879539047	-1	7.19500238925147
EIF4B	197	Down	0.099452507875833	0.148425333723781	0.645927633296244	-0.659402035476961	-1	5.62986580477858
SNRNP200	195	Down	0.0988871195733427	0.148425333723781	0.677426450991556	-0.707679110927277	-1	5.91002154495145
DDX1	181	Down	0.113418339319022	0.166741886909309	0.714584291153422	-0.760266405389632	-1	5.85282624800324
FMR1	187	Down	0.113104164086558	0.166741886909309	0.596014635309418	-0.659317517691003	-1	4.86257552625907
DDX28	189	Down	0.115879501484847	0.169098235500109	0.705671103925468	-0.831544448465433	-1	5.73221783843689
SERBP1	181	Down	0.119310075846176	0.172824153983064	0.840530036266265	-0.902874713014542	-1	6.76427774247484
DAZAP1	190	Down	0.123430264555043	0.177487314725135	0.968032258279964	-1.1819813672211	-1	7.68766855581
BUD13	191	Down	0.125355330620875	0.178949276321105	0.617156354599706	-0.698266492794811	-1	4.8358415033559
SF3A3	197	Down	0.134447854622801	0.190548398278359	0.518045977657928	-0.504718266161376	-1	3.88906672367006
PARN	187	Down	0.140142186825981	0.197200077176559	0.991631687027364	-0.862584697484298	-1	7.39096684972291
DHX30	197	Down	0.143809322320321	0.20092508153974	0.612502208293921	-0.560379533727934	-1	4.46773276988077
UBE2L3	194	Down	0.145341172276167	0.201635288298626	0.560283087542127	-0.527068380552424	-1	4.06780255161233
DDX52	193	Up	0.168693401583595	0.232395804978799	0.720231274387887	0.697724390395116	1	4.78516786061908
TRIM56	195	Down	0.175889904709648	0.240627161304172	0.675456691507843	-0.723004897451553	-1	4.37091882183376
TUFM	194	Down	0.180112649430693	0.243028711903059	0.803213625909038	-0.868041075579738	-1	5.18222608605607
NUSAP1	195	Down	0.179235915572457	0.243028711903059	0.651471834928711	-0.65574401521157	-1	4.18145977489842
SART3	187	Up	0.181512512716143	0.243251462619593	0.759928974745161	0.700967999964033	1	4.89350956950334
SLTM	186	Down	0.198313924445785	0.263971912944727	0.752167232996612	-0.77351588170668	-1	4.55567915746714
AATF	193	Down	0.211497888075633	0.279631435912079	0.61205609869855	-0.704033650291026	-1	3.52116629027827
