NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	Up	0.116456950644061	0.200822711677384	0.908448329303795	0.941533549292427	1	9.00710287033979
HNRNPA2B1	193	Down	0.117231532197458	0.200822711677384	0.84212187344288	-0.845555202296289	-1	8.3333777299551
DKC1	190	Down	0.123680359989898	0.208248127504357	0.977965289223881	-1.2060306404181	-1	9.48856147794708
SAFB2	187	Down	0.123197988003045	0.208248127504357	1.04288862356632	-0.958439827600247	-1	10.1331188232752
SF3B1	185	Down	0.125000344922341	0.208687016522891	0.996448384286069	-0.997665060186976	-1	9.65878720604671
HNRNPAB	185	Down	0.130143438434462	0.215447540937723	0.988729546963595	-0.9418949707084	-1	9.38279939063063
KHDRBS1	192	Down	0.138596921267708	0.227529945747821	0.879533654465847	-1.11036244090521	-1	8.01852439550226
DDX55	192	Up	0.1441019108891	0.234612202026056	1.06121619235308	1.08546114835841	1	9.51464269809051
SF3A3	197	Down	0.145447272981692	0.234861580142568	0.809438409561979	-0.799383383934953	-1	7.19946323804942
PRPF6	193	Up	0.148248603168911	0.237438819709556	0.87304383352654	0.851644643442173	1	7.7222449257947
EIF3G	192	Down	0.154870746346762	0.245355145294875	0.981116570459349	-0.889961672886871	-1	8.50188205707728
CCAR2	178	Up	0.155682198791164	0.245355145294875	1.01175542968493	1.02003610342583	1	8.7742743440542
SMNDC1	196	Down	0.162549191360866	0.254144370619766	0.658155549079789	-0.762559599837817	-1	5.48405176892716
RCC2	190	Down	0.166499900353716	0.258271498973875	0.727617213194082	-0.782753845405928	-1	6.01196095905404
ASCC1	191	Down	0.171806313014886	0.264420653624472	0.767221579727577	-0.927229116455577	-1	6.23697600345668
LSM11	184	Down	0.183167504389471	0.279720917556014	0.976633804207272	-1.03745447657563	-1	7.65196726856597
DDX1	181	Down	0.187064011346335	0.28347392488637	0.71514224303665	-0.68797498307837	-1	5.48378112136414
FKBP4	197	Up	0.194716898993441	0.291849709887466	1.13216441224966	-0.97283231929028	-1	8.60161910667181
PUS1	193	Down	0.195554120330688	0.291849709887466	0.842104694305521	-0.846373636711631	-1	6.34135873731116
SLBP	196	Down	0.211194552191408	0.312822005877499	0.86006517784261	-1.08663063670326	-1	6.10366106362048
SF1	188	Up	0.239877210578596	0.352655302119279	1.31684293275364	1.17763042913152	1	8.46380206960486
DDX27	188	Down	0.24182747256553	0.352888978484514	1.22319793028971	-1.28556866509911	-1	7.84109513503906
PUF60	178	Down	0.246296486160998	0.354163560392091	0.951304937780317	1.01058813153765	1	6.02742376604277
UTP3	187	Down	0.246162932605919	0.354163560392091	1.0001286892051	-0.918171362587357	-1	6.34809344274701
PCBP1	196	Down	0.249956507764873	0.356821971229565	0.899889659493789	-1.18760671714521	-1	5.64715242245169
FASTKD2	190	Down	0.254712369781018	0.358416691763289	0.943988336074405	-1.11630857227591	-1	5.90806605372112
PCBP2	197	Down	0.25367746534546	0.358416691763289	0.811166735335557	-0.778601482699453	-1	5.04573914145179
FUS	189	Down	0.261035466276576	0.364709126641741	0.813670090778932	-0.869921848689365	-1	4.97238833292912
CPSF7	176	Down	0.282251629885655	0.391574444277986	1.09520958905169	-1.2714108309579	-1	6.27669531208558
MSI2	193	Down	0.297150512496725	0.409361195537446	0.782310449574364	-0.72551303883059	-1	4.20052309553844
PA2G4	193	Up	0.303581128479345	0.415315849377993	0.968503436591348	0.789317527377338	1	5.1642812294549
PRPF8	189	Down	0.330135229694044	0.447081119901422	0.863690014074636	-0.730628692523204	-1	4.17873914707999
DNAJC2	187	Up	0.331339307135064	0.447081119901422	0.993067236839284	-1.15748488486533	-1	4.83775035872721
BUD13	191	Down	0.338101971581195	0.453102642187044	0.77593936744429	-0.87677930916038	-1	3.66607640055901
NELFE	193	Up	0.360568935937655	0.479946489052149	0.898155822877588	0.987105335735186	1	3.95117260829738
HSPD1	189	Down	0.377597065376299	0.499139169507263	0.854971940517671	-0.867472153342043	-1	3.53846774544824
