NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
LIN28B	187	Up	6.78131608439472e-05	0.000466447492953006	0.79839063406956	0.777806562068741	1	28.7850019358058
UCHL5	197	Down	6.86648593687166e-05	0.000466447492953006	0.717811059138253	-0.691574284924298	-1	25.8796593951795
STAU1	194	Down	8.63058504023343e-05	0.000566741750975328	0.890368926717079	-0.784677941979704	-1	31.2862104297418
SFPQ	188	Up	0.000168700142146508	0.00107206219364071	0.865705052599015	0.831352330260332	1	27.8255637694873
LARP4	189	Down	0.000190898213012214	0.00117521712385644	1.17315778605228	-1.22359146401368	-1	37.2016237343295
KIF1C	195	Down	0.000213148367170316	0.00127243116159249	0.857168814813345	-0.804736083452738	-1	26.860786614184
ILF2	190	Down	0.00052137307399834	0.00302089692875509	0.975119768537883	-0.993291525761168	-1	26.5940074457293
DDX28	189	Up	0.000577570666132566	0.00325089774937473	0.808265536223219	0.799797522242521	1	21.7644347686099
XRCC6	190	Up	0.000629287062693175	0.00344359864862654	1.06887853555097	1.14135435592475	1	28.4931733191559
XRCC5	190	Up	0.000953763421046915	0.00481772804990365	1.02313925263467	0.955415930258929	1	25.6589097580368
ZRANB2	184	Down	0.000952280931440233	0.00481772804990365	0.88948260025123	-0.874383234883295	-1	22.3068002476659
U2AF2	189	Down	0.000924188166472074	0.00481772804990365	0.901138654984317	-0.897174762144654	-1	22.5991341586792
KRR1	191	Down	0.000983696627156986	0.00484470588874815	1.0956416209093	-1.12176683336479	-1	27.4485103304206
MATR3	192	Up	0.00106785883990204	0.00513093149904152	0.803666694586154	0.71429700263524	1	19.916596711997
EWSR1	192	Up	0.00116417374161119	0.00546052921660485	0.836362979923812	0.937516206368014	1	20.4821741537727
SNRNP200	195	Down	0.00122302792133935	0.00560317443032212	0.944048598038747	-0.928784362027739	-1	23.0050973721759
ATP5C1	197	Down	0.00132250955601521	0.00592123596670447	0.810181879969824	-0.742698511414406	-1	19.5324895919144
NOL12	196	Up	0.00144318186309034	0.00631792948952882	1.09616475392409	1.21658565151656	1	26.0935576218612
FKBP4	197	Down	0.00178985489904137	0.0076652481545902	1.09130720822675	-0.987771204683041	-1	24.9862958376629
BCCIP	181	Up	0.00192867946986681	0.00808403948008003	0.747864241607063	0.805605108467215	1	16.9354596970381
SMNDC1	196	Down	0.00208351719859614	0.008551101835905	0.81843353722838	-0.808916640406775	-1	18.3175542946109
PCBP2	197	Down	0.00266971537178476	0.0107333454743183	0.841119131711141	-0.845419479070304	-1	17.9266477132963
ILF3	194	Down	0.0027995918884265	0.0110303920404004	0.865098191120819	-0.821640328191636	-1	18.3267386090313
AKAP1	195	Up	0.00341493239523522	0.012937340035795	0.896454269901741	0.853890653817248	1	18.3190926873341
RBM39	192	Down	0.00336570794101078	0.012937340035795	0.852894991494288	-0.801190771907022	-1	17.4288870405175
AKAP8L	194	Down	0.00358618675175655	0.0133297884923781	0.904265719753339	-0.831281223989962	-1	18.351708844476
TFIP11	196	Up	0.00402499521234166	0.0146837788302094	0.920871176811999	0.969713658216997	1	18.269970637798
FIP1L1	188	Up	0.00462639461575976	0.0165709043509941	0.907712599379248	1.00942901076827	1	17.4930053448715
G3BP2	194	Down	0.00473549434104909	0.0166587925926191	0.794628343064596	-0.699438880769639	-1	15.2937628979593
PRPF8	189	Up	0.0050907505204764	0.0175943482900676	1.10117811867529	1.21258075457096	1	20.9114768995765
QKI	196	Up	0.0056545095122189	0.0192058340328814	0.84595803873863	0.927711949484298	1	15.7160031297092
RBM22	194	Up	0.00601789108111367	0.0200936363216846	0.822679095922406	0.835372827620429	1	15.1087420554789
SLBP	196	Down	0.00696688164026326	0.0221367045666429	0.906552115390975	-0.789894078833139	-1	16.2365951614207
ADAR	174	Up	0.00685486928911368	0.0221367045666429	1.06357005509012	1.08539365479234	1	19.0490765063249
UPF2	182	Up	0.00680254348330134	0.0221367045666429	1.01579411542756	1.0629740374436	1	18.1933211748407
ASCC1	191	Down	0.00739287415157559	0.0231174001247681	0.911625323162839	-0.727004817812519	-1	16.1417079342232
MTPAP	187	Up	0.0086510701896001	0.0266290754273628	0.958006165790531	1.00977361106997	1	16.3261847362596
RBM17	186	Up	0.00921418191799114	0.0279260590437578	0.961945957434994	1.04638604528956	1	16.1782926605249
DDX55	192	Down	0.00953650558649439	0.0284650242505969	1.20832645156772	-1.17567281204289	-1	20.2137825770025
KHSRP	195	Down	0.00975767617005783	0.0286904806791253	1.03792584990784	-1.07910382329125	-1	17.3245023398901
AATF	193	Down	0.0120898411676543	0.035024981029822	0.917420751921132	-0.747981416918772	-1	14.4526111477867
