NGenes	Direction	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
CELF1	189	Down	0.531276783202108	0.666633925419206	0.728491728442898	-0.556695059795473	-1	1.37054097197052
GTF2F1	184	Down	0.545088544594126	0.675361278522282	0.779527708984241	-0.921965523895417	-1	1.42067038033501
UPF1	186	Up	0.542434395666862	0.675361278522282	0.618188086704021	-0.635781822154648	-1	1.1199571033908
PUS1	193	Up	0.582823824925536	0.710484002697424	0.762494277169847	-0.697461285816391	-1	1.20535471447903
SSB	189	Up	0.584255880390775	0.710484002697424	0.76408430255824	0.754299781418153	1	1.20793549434599
SERBP1	181	Up	0.578847132776	0.710484002697424	0.799486554794045	-0.710488055133782	-1	1.26539710501088
HSPD1	189	Up	0.594014565471857	0.713541886572901	0.696227271822636	-0.634436652777273	-1	1.083597641481
GRWD1	194	Up	0.59311382243873	0.713541886572901	0.895657082999296	-0.666002788105346	-1	1.40322625516559
SF1	188	Down	0.616202819575383	0.735708820947579	0.850260596168577	-0.903071759934928	-1	1.20694750821595
DDX24	197	Up	0.64007370036234	0.748222006535834	0.650043562072258	-0.538343872576031	-1	0.863084074464643
PPIL4	193	Down	0.63856865591275	0.748222006535834	0.729054424349474	-0.792192269652404	-1	0.971909801459654
HNRNPC	196	Down	0.641875731495207	0.748222006535834	0.701668421889005	-0.632117853676891	-1	0.934189650820226
HNRNPAB	185	Up	0.635434135183049	0.748222006535834	0.760450644323194	0.772597235655429	1	1.01515343107032
SLTM	186	Up	0.662246605175789	0.762939071459827	0.717878624099427	-0.732946502379553	-1	0.890116686651598
TAF15	192	Up	0.660933235064583	0.762939071459827	0.736285625849011	0.916628178612614	1	0.913767043752695
FUS	189	Down	0.678834286899401	0.777502061158034	0.951455814256516	-0.791312710007099	-1	1.10480180301126
EIF3D	185	Up	0.709836006320122	0.808310365578404	0.766127316899488	0.891298925000507	1	0.741948721840516
DNAJC21	190	Down	0.740806976452377	0.838729737707576	0.899444616092271	-0.805998795939475	-1	0.718887134612853
ABCF1	198	Down	0.76190132794049	0.857683209167294	0.785579812653775	-0.689473937717308	-1	0.540436416938307
BOP1	190	Up	0.78099182583476	0.869239489770891	0.947005803692085	-0.669238746468901	-1	0.597930268234572
