p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX24	0.000103091617858958	0.000564140242172631	1.10142404557262	-1.13209919652831	-1	18.7124397059911
AGO1	0.000156201236964596	0.000831666045460149	0.981159949067751	-0.991440095727494	-1	15.8021767976495
TIAL1	0.00021910951726652	0.00113590986582906	1.08491316941136	1.14764605114382	1	16.7058730129988
SUGP2	0.000231474121437226	0.00114001004807834	1.27053304585062	-1.18849453561787	-1	19.5560593904345
HNRNPA0	0.000231474121437226	0.00114001004807834	0.921095011806585	0.927925506555641	1	14.1737249835695
BOP1	0.000244434243492343	0.00117447673092663	1.05811338660072	1.24444988953534	1	16.2125614684867
EEF2	0.000302707989233431	0.00126879731657417	0.878052721338751	0.873202287081214	1	13.2971442526457
PTBP1	0.000302707989233431	0.00126879731657417	0.912078125993897	0.899823184432021	1	13.8129542470465
SUPT6H	0.000272235277609127	0.00126879731657417	0.950255072961294	-0.770232226269672	-1	14.391699775603
HNRNPA2B1	0.000287125026530037	0.00126879731657417	0.844374999593715	0.836136905811987	1	12.7866049764549
AKAP8L	0.000302707989233431	0.00126879731657417	0.904265719753339	-0.831281223989962	-1	13.6945216447001
SRSF5	0.000302707989233431	0.00126879731657417	1.00471894808259	-0.96970359109986	-1	15.2173478878323
CSTF2T	0.000319010352556459	0.00128255182558413	1.04924091953909	0.994305313772122	1	15.8665673977152
AKAP1	0.000319010352556459	0.00128255182558413	0.896454269901741	0.853890653817248	1	13.5541341194267
RPS10	0.000699157726514385	0.00264873215621796	0.945807825936421	1.00838039311924	1	12.7420549631174
FUBP3	0.000699157726514385	0.00264873215621796	1.24468559316091	-0.981374140202923	-1	16.7729211686762
UTP3	0.000699157726514385	0.00264873215621796	1.09923308380644	1.30068122796722	1	14.8112509851919
PRPF8	0.000771997293127125	0.00286949937256686	1.10117811867529	1.21258075457096	1	14.6371118890884
FASTKD2	0.00081074486174437	0.00290394068661165	0.989227820066148	-0.812463413783003	-1	13.1208194609234
RAVER1	0.00081074486174437	0.00290394068661165	0.872874229161345	-0.825712168399744	-1	11.5759239096721
RBM15	0.000982474430378202	0.00333702522042251	0.840682549721594	-0.773476082340378	-1	10.8828748283094
HNRNPK	0.000982474430378202	0.00333702522042251	0.98263919220115	-0.910980287389385	-1	12.7228648056839
STAU1	0.000982474430378202	0.00333702522042251	0.890368926717079	-0.784677941979704	-1	11.5268914385001
KIF1C	0.00102986472165118	0.00343870085025903	0.857168814813345	-0.804736083452738	-1	11.0380886420881
G3BP1	0.00113039335215348	0.00371145817290392	0.868494630467829	-0.809018644802647	-1	11.0334391225366
HNRNPM	0.00151253300439969	0.0048847377355203	1.0346815273646	1.19008648027577	1	12.5013244225354
EIF4G2	0.00174083138084932	0.00553135132302124	0.964271954525192	1.00270240978051	1	11.3772158298915
APOBEC3C	0.00182294424071788	0.00570031770510194	1.13339872895897	1.16269824167631	1	13.2975987083746
FIP1L1	0.00228263597087203	0.00691814286556599	0.907712599379248	1.00942901076827	1	10.247522662514
SF1	0.00228263597087203	0.00691814286556599	1.1218670403488	1.32451309455898	1	12.6684385903195
FXR1	0.00238505215241404	0.00701276528396367	0.924838691614284	0.976696627053698	1	10.4125690712711
U2AF2	0.00238505215241404	0.00701276528396367	0.901138654984317	-0.897174762144654	-1	10.1453830084224
XRCC5	0.00249118522818953	0.00711251434714982	1.02313925263467	0.955415930258929	1	11.4879311289894
DAZAP1	0.00249118522818953	0.00711251434714982	1.27471545572819	1.48045459635417	1	14.3160386674774
BUD13	0.00260113421113757	0.0072172315435789	0.884452553531038	-0.878501852337717	-1	9.89949564998365
XPO5	0.00260113421113757	0.0072172315435789	0.971621820636825	-0.860549183877887	-1	10.876517941927
RBM25	0.00271499953916487	0.00742854040577056	0.988042540227967	1.01566090480447	1	10.995759800804
GRWD1	0.00295488802663857	0.00786639109794322	1.11342568353982	1.26075363433012	1	12.2479382060404
TUFM	0.00295488802663857	0.00786639109794322	1.30459584527808	1.41102453363344	1	14.353213719492
HNRNPU	0.00308111906303119	0.00798658493969926	1.03863521285565	-0.990975652808225	-1	11.388505033479
CKAP4	0.00308111906303119	0.00798658493969926	1.01752954888976	-0.949705601939266	-1	11.1568047792602
PCBP2	0.00334668468500376	0.00856229718111353	0.841119131711141	-0.845419479070304	-1	9.08708204244982
ABCF1	0.00348623529350498	0.00880497888231387	0.984137443098096	1.07687405813546	1	10.572008786226
PPIG	0.00363044398282789	0.00905313246350753	1.08226195542808	-1.03181322267211	-1	11.5591044452673
ZRANB2	0.00558690003843845	0.0137577413446547	0.88948260025123	-0.874383234883295	-1	8.65160882254405
HNRNPAB	0.00581386542494763	0.0141398949224035	1.07871408498536	1.20542905667894	1	10.4279286961935
DNAJC2	0.00628953889043178	0.0151102336757934	1.50027687772184	-1.28438041724687	-1	14.2822197825176
RRP9	0.00653855545605411	0.015334469343365	0.914189309980439	1.09505882882043	1	8.66685051436168
EIF4G1	0.00653855545605411	0.015334469343365	1.17342273233698	1.37332165859973	1	11.1283760177775
FUS	0.00679523262650379	0.0155658235746657	0.906892918624842	-0.887294165379559	-1	8.56670165757411
CELF1	0.00679523262650379	0.0155658235746657	0.871268804769866	-0.766685434946901	-1	8.22964887284795
ILF2	0.00705972715936109	0.0159858189700475	0.975119768537883	-0.993291525761168	-1	9.1532120029281
PUM1	0.00761279987251751	0.017042290623704	1.04330141273511	-0.883933299462039	-1	9.6424224649114
PRPF6	0.0079016959434876	0.0174902707962591	0.912137465996167	0.902295194803676	1	8.37465532160428
