p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
HNRNPC	1	1	0.300076783423288	-0.312424237259747	-1	0
PCBP2	1	1	0.338776635362305	0.36058247904109	1	0
EIF3D	1	1	0.425297937051142	-0.443572122419874	-1	0
UCHL5	1	1	0.252201145873585	-0.236760546028725	-1	0
RBM39	1	1	0.351706136737745	0.368621986091458	1	0
FTO	1	1	0.354668229214962	-0.332750819585321	-1	0
TIA1	1	1	0.263932801881183	-0.268324804763505	-1	0
EIF4G1	1	1	0.496982579139061	-0.52383208616177	-1	0
XRCC5	1	1	0.466711434203608	-0.468704385897552	-1	0
XRN2	1	1	0.290143492433608	-0.300312843997811	-1	0
ABCF1	1	1	0.385270798488249	-0.339618787575959	-1	0
PUM1	1	1	0.536532604531459	0.647105575640168	1	0
HNRNPM	1	1	0.483550500948863	-0.46671863162813	-1	0
NUFIP2	1	1	0.477627320769938	-0.429328785004468	-1	0
LSM11	1	1	0.424844458543534	-0.40259137118067	-1	0
SAFB2	1	1	0.493702777092557	-0.425031668613672	-1	0
LARP7	1	1	0.485385645916624	0.494390832958805	1	0
EIF4B	1	1	0.332129073537584	-0.283597909824046	-1	0
BOP1	1	1	0.396260636568201	0.375195881133151	1	0
STAU1	1	1	0.344982754290226	0.305760950862135	1	0
SUPV3L1	1	1	0.346490057583316	-0.333748938963871	-1	0
HNRNPAB	1	1	0.441869218032498	-0.400948949703545	-1	0
FXR1	1	1	0.36368283443166	-0.388116720604162	-1	0
PRPF6	1	1	0.390733344129795	-0.423892817136891	-1	0
RTF1	1	1	0.38721715457016	-0.402869186711105	-1	0
RPS3A	1	1	0.460738427433991	0.480713709505342	1	0
G3BP1	1	1	0.334686016996834	-0.308165203847269	-1	0
MATR3	1	1	0.323519914043582	-0.306831845017168	-1	0
HNRNPA2B1	1	1	0.331353734322813	-0.31515818749962	-1	0
AKAP8L	1	1	0.328612500002322	-0.317885333282729	-1	0
UPF2	1	1	0.434759530606265	-0.408037842577585	-1	0
EXOSC9	1	1	0.28375937269042	-0.282758726296038	-1	0
SRFBP1	1	1	0.343281860960647	-0.356884610575192	-1	0
UTP3	1	1	0.400385646682748	-0.362128446434528	-1	0
KIF1C	1	1	0.358985394741665	0.377923044546265	1	0
NSUN2	1	1	0.324459794861053	-0.270949901358766	-1	0
EWSR1	1	1	0.347262931277368	-0.298811597213875	-1	0
GRSF1	1	1	0.466771641348784	-0.416962643445264	-1	0
MAGOH	1	1	0.459546811919364	-0.447113273182177	-1	0
ZRANB2	1	1	0.393371435445629	0.448679985763199	1	0
DDX55	1	1	0.505471781362271	0.529248464148375	1	0
LARP4	1	1	0.375577388145163	-0.392676837972714	-1	0
CSTF2	1	1	0.379053637664377	0.432895658701596	1	0
SSB	1	1	0.33530375887877	0.394786648294017	1	0
PES1	1	1	0.373770034692474	-0.356797847235733	-1	0
RBM17	1	1	0.479014964198249	0.540326158380987	1	0
SSRP1	1	1	0.378043295984515	0.422172323186867	1	0
RAVER1	1	1	0.340638369278684	-0.356997416328039	-1	0
U2AF2	1	1	0.341272581047986	-0.350163414736245	-1	0
SRSF5	1	1	0.26920136516058	-0.275124830017974	-1	0
DAZAP1	1	1	0.467918372239116	0.540448973886182	1	0
TFIP11	1	1	0.343734022050704	-0.368783069174003	-1	0
TRA2A	1	1	0.26313952075865	-0.248117414707628	-1	0
RCC2	1	1	0.3379330709892	-0.367662245788393	-1	0
SERBP1	1	1	0.400508499133277	0.456441361193685	1	0
TIAL1	1	1	0.431514037091257	-0.386849296254849	-1	0
NUSAP1	1	1	0.358579820760357	-0.373814968407562	-1	0
SNRNP200	1	1	0.443646182419897	0.44668669121818	1	0
NAA15	1	1	0.498508506267078	0.537158787661679	1	0
RBM22	1	1	0.313050680026273	-0.25016399310465	-1	0
CKAP4	1	1	0.396747865273265	-0.426816433350298	-1	0
METAP2	1	1	0.306113612697763	-0.299536226536265	-1	0
IGF2BP2	1	1	0.330000696078341	-0.276914396445156	-1	0
SART3	1	1	0.504900778115586	0.547533895262654	1	0
HLTF	1	1	0.300703487829366	-0.235098515280392	-1	0
EIF4A3	1	1	0.459573873316007	-0.486633276080352	-1	0
APOBEC3C	1	1	0.543574388957644	-0.53743871003784	-1	0
GPKOW	1	1	0.360195025856785	-0.337691128270394	-1	0
AATF	1	1	0.32551907892717	-0.31315863223962	-1	0
PKM	1	1	0.431950346351181	-0.417249171203864	-1	0
CCAR2	1	1	0.542399486523897	-0.566731070978628	-1	0
