p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX6	0.999431302366058	-3.3492416740296	0.999999993804761	1	187	0.987273694328131	-1.09562831169538	-1	0
ILF2	0.830567966341968	-1.14342884564148	0.993238970482674	1	190	1.10615047758981	-1.19384964371827	-1	0
SMN1	0.981411389688582	-2.36459070429979	0.999942166173882	1	179	0.819809864099012	-0.742604934306246	-1	0
TARDBP	0.999999859175958	-5.43855253106219	1	1	193	0.807226788840289	-0.77063836941275	-1	0
PRPF8	0.995559272070302	-2.89929041450941	0.999999377653122	1	189	0.863690014074636	-0.730628692523204	-1	0
EIF3G	0.956455648927561	-1.79842790417698	0.99884805343159	1	192	0.981116570459349	-0.889961672886871	-1	0
RBM25	0.999999985405783	-5.91196629180674	1	1	192	0.7004963708404	-0.64638323357028	-1	0
DDX47	0.949935677490306	-1.73490552226152	0.998501585097443	1	195	0.916941046290965	0.897132156819132	1	0
ADAR	0.175477243941766	0.904752015674887	0.053489242761419	1	174	1.12849774344172	-1.1709535014642	-1	0
UTP18	0.965300629037867	-2.33415815871334	0.999865493679668	1	191	0.810049457067544	-0.912455602242239	-1	0
MSI2	0.999144361521276	-3.48152706162744	0.999999994939766	1	193	0.782310449574364	-0.72551303883059	-1	0
EEF2	0.810096118776318	-1.07520707228972	0.95101842227813	1	194	0.970091190441893	-1.12018758200116	-1	0
GTF2F1	0.633631654797082	-0.404672169637331	0.766781155423403	1	184	1.38766130368136	-0.743491794917748	-1	0
PNPT1	0.611115008338041	-0.46954058503248	0.723206021635404	1	184	1.10094085082772	-1.1980816432394	-1	0
SUGP2	0.494239670674109	-0.253065185603516	0.874334607799322	1	189	1.23785883237608	1.01697799479386	1	0
PABPC1	0.875695875210917	-1.21120096973608	0.984915888664682	1	180	1.02715207314915	1.00876664828008	1	0
NELFE	0.981075873036658	-2.12427668740968	0.999881043514206	1	193	0.898155822877588	0.987105335735186	1	0
DDX28	0.983878481088748	-2.60955374312577	0.999982595970545	1	189	0.797084588209327	-0.815643525150289	-1	0
DDX1	0.942294400118	-1.90603060856744	0.99879179546279	1	181	0.71514224303665	-0.68797498307837	-1	0
RRP9	0.897480645496434	-1.49701148065271	0.992964188469112	1	188	0.857555786631811	-0.907180188905374	-1	0
SBDS	0.96029798416507	-2.10573951499306	0.999623321967422	1	187	0.895540866709268	-0.95943556578748	-1	0
HSPD1	0.997560022021495	-3.09551623260566	0.999999880218245	1	189	0.854971940517671	-0.867472153342043	-1	0
CPSF7	0.372087868087557	0.0963063290427964	0.334353180770226	1	176	1.09520958905169	-1.2714108309579	-1	0
NOL12	0.494186942944974	-0.0996826664844245	0.515339085422123	1	196	1.07852979747579	-1.00117616182046	-1	0
ATP5C1	0.999237147200924	-3.57354413764756	0.999999998106919	1	197	0.926546310752789	-1.1040059382153	-1	0
XRCC6	0.914240037965474	-1.40458229595483	0.992103131229864	1	190	1.0174490882248	0.993243225162062	1	0
SND1	0.989391307395073	-2.30896521326741	0.999968253044347	1	195	1.01982356939917	-1.33274336535128	-1	0
SLTM	0.964699013934378	-1.89280494597241	0.99933528190689	1	186	0.987024868127757	-0.877660741859737	-1	0
KRR1	0.836734092718402	-1.12211676378837	0.978422458183319	1	191	1.00913242284585	-1.0999151139775	-1	0
G3BP2	0.999952289367013	-3.95565680107367	0.99999999999448	1	194	0.796600381428001	-0.991794002854378	-1	0
UPF1	0.999953422472509	-3.94828060112762	0.999999999994095	1	186	0.747598480327433	-0.771745335970058	-1	0
ASCC1	0.995901459288244	-2.95387875964533	0.999999672911941	1	191	0.767221579727577	-0.927229116455577	-1	0
QKI	0.999980938830945	-4.19614854926686	0.999999999999829	1	196	0.679428467496549	-0.685574844022561	-1	0
BUD13	0.999990507922708	-4.43283398513182	0.99999999999996	1	191	0.77593936744429	-0.87677930916038	-1	0
AGO1	0.804814534083859	-0.928442235143005	0.970651833642256	1	182	1.05129186110648	0.711778650071648	1	0
ILF3	0.995941368065773	-2.93472657997649	0.999999950964905	1	194	0.860036983997846	-0.944987559859672	-1	0
DDX19B	0.999123887438654	-3.2662270148112	0.999999980938059	1	193	1.00697387446144	0.835945629920086	1	0
CSTF2T	0.999325455739953	-3.83852575553876	0.999999999985322	1	195	1.04577346784748	-0.848328012341428	-1	0
TRIM56	0.999660309936637	-3.51884449712235	0.999999998790776	1	195	0.772617795859379	-0.694160996689915	-1	0
IGF2BP3	0.995190103930783	-2.88519106020835	0.999999091031967	1	191	0.866619084859092	-0.934254113846927	-1	0
YBX3	0.933293496672667	-1.65301700565813	0.997560919554898	1	188	1.05087741136578	-1.23742820581485	-1	0
