p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
FIP1L1	0.999319598434538	-3.43419853107449	0.999999997097136	1	188	0.652643197051932	0.672452842424993	1	0
PTBP1	0.999094710173406	-3.25428612788543	0.999999993288979	1	194	0.710611325241911	0.682249747775928	1	0
GRWD1	0.837581026129128	-0.954073689941916	0.966761288273373	1	194	0.895657082999296	-0.666002788105346	-1	0
HNRNPK	0.913057048698112	-1.68771550837824	0.999674694227025	1	194	0.751989180467165	-0.759525992483239	-1	0
PPIG	0.999999948806021	-5.51156547189416	1	1	199	0.633700229473323	0.625744549344214	1	0
SUPT6H	0.8659569447159	-1.09392017762542	0.984533737353031	1	192	0.876527045987323	-0.748270568691705	-1	0
SFPQ	0.998213781089441	-3.17679838720126	0.99999998472295	1	188	0.600687516051164	0.580376414658268	1	0
PCBP1	0.944873643079182	-1.98426609296203	0.999951163268903	1	196	0.820472923142364	-0.894562516520788	-1	0
EIF2S1	0.999999959494784	-5.59982865372047	1	1	198	0.665680267340336	0.714894421648444	1	0
HNRNPA0	0.988214057448709	-2.38990920014396	0.999990912561583	1	189	0.582326309739905	0.539443992938838	1	0
FMR1	0.957596191870945	-2.13814070644431	0.999955364728108	1	187	0.712944815350221	-0.832043198866554	-1	0
PPIL4	0.976382345606797	-2.06936373367789	0.999903854240619	1	193	0.729054424349474	-0.792192269652404	-1	0
PUF60	0.953773943644769	-1.87500019209218	0.999363292916171	1	178	0.797862363851634	-0.76462183632026	-1	0
RBM34	0.999994829318639	-4.78871584298154	1	1	191	0.432370634211185	0.399140106506058	1	0
DDX52	0.339319688035805	0.226717766654982	0.508722880296485	1	193	1.01107383503123	0.741180536114646	1	0
KHSRP	0.955680780096219	-2.74745145343851	0.999999872078098	1	195	0.650801139015313	-0.705043633326131	-1	0
SF1	0.37547670026679	0.375015316062658	0.311730487275887	1	188	0.850260596168577	-0.903071759934928	-1	0
HNRNPL	0.984271419913934	-2.36836485907232	0.999989498632251	1	189	0.701322725752387	-0.674844323839675	-1	0
DNAJC2	0.107124019966134	0.982390658566075	0.10124574217745	1	187	1.08498901652501	-1.00700927170285	-1	0
DDX27	0.656519098796293	-0.525765939321157	0.809940160498979	1	188	0.773662198504939	-0.739166584536047	-1	0
LIN28B	0.999712757741661	-3.48722085445067	0.999999999341955	1	187	0.73978794770945	0.754924000134753	1	0
AARS	0.926146518989246	-1.53735076271148	0.996925580676549	1	190	0.781799002890979	-0.771156120845691	-1	0
TUFM	0.831199635072614	-0.995791916720282	0.957060481309481	1	194	0.931722079280235	1.18907481792123	1	0
CELF1	0.989668073024904	-2.35390935755752	0.999989984929707	1	189	0.728491728442898	-0.556695059795473	-1	0
BCCIP	0.998500361592833	-3.11154797257483	0.999999917977665	1	181	0.712604148930639	-0.650188350379846	-1	0
FASTKD2	0.994785828083136	-2.65952409165016	0.999997322515712	1	190	0.723246383675207	-0.695239015790424	-1	0
PSIP1	0.999791051536698	-4.30637148930469	0.999999999999992	1	187	0.507075808788598	0.462306593872298	1	0
TAF15	0.998984877510548	-3.13163421699478	0.999999984978022	1	192	0.736285625849011	0.916628178612614	1	0
PUS1	0.998063146299519	-3.09561454918915	0.999999990077229	1	193	0.762494277169847	-0.697461285816391	-1	0
MTPAP	0.989500582022537	-2.35612508604633	0.999974572810925	1	187	0.801881928265238	0.788551345742964	1	0
HNRNPC	0.999999554606471	-5.08970948879773	1	1	196	0.701668421889005	-0.632117853676891	-1	0
PCBP2	0.999938774139599	-4.12441897939561	0.999999999999619	1	197	0.675372953127849	-0.723387126392398	-1	0
EIF3D	0.988439671358994	-2.45733828630845	0.999984477632204	1	185	0.766127316899488	0.891298925000507	1	0
UCHL5	0.99999999871578	-6.4760499349888	1	1	197	0.58318963515369	-0.538846597105056	-1	0
RBM39	0.998984475408493	-3.33954499191542	0.99999999355449	1	192	0.679237714382238	0.667101568104666	1	0
FTO	0.995988155330954	-2.8490581795165	0.999999893448483	1	192	0.806496922557061	-0.813693545072459	-1	0
TIA1	0.999999999952702	-6.93619411572185	1	1	196	0.563216766304704	0.592313489256125	1	0
EIF4G1	0.673313407447792	-0.502190137682224	0.803015877521214	1	188	0.848906652605378	-0.869334054969004	-1	0
XRCC5	0.973478244486673	-2.02756050022401	0.999900088068712	1	190	0.649932840314763	0.697203930151473	1	0
XRN2	0.999999491408535	-5.22301524964926	1	1	193	0.752206066914987	-0.657695475239108	-1	0
ABCF1	0.986312882470178	-2.26457587338738	0.999977035762914	1	198	0.785579812653775	-0.689473937717308	-1	0
PUM1	0.209174689474731	0.841962117913809	0.135436683327021	1	192	0.850429093845616	-0.850910446933007	-1	0
HNRNPM	0.752712142723223	-0.836429863415424	0.922963785538705	1	179	0.709061082132702	-0.640958853547925	-1	0
NUFIP2	0.454086822559227	0.192507840947776	0.478645230770402	1	182	0.699082412248567	-0.677123468878066	-1	0
LSM11	0.988118492256719	-2.31197462600912	0.999966041581388	1	184	0.718040077584897	-0.579321397959264	-1	0
SAFB2	0.937342108620727	-1.5701082298041	0.997592771160304	1	187	0.800844502508579	0.88030833828869	1	0
LARP7	0.502500261555136	-0.702212237118335	0.971386609217135	1	194	0.802448692893645	-0.831654736763919	-1	0
EIF4B	0.99997668194461	-4.65327341126369	1	1	197	0.57376731803243	-0.629111666745006	-1	0
BOP1	0.961674099241108	-1.85265344352245	0.999212945959155	1	190	0.947005803692085	-0.669238746468901	-1	0
STAU1	0.996855907179984	-3.13483245583102	0.999999993612937	1	194	0.692787306379874	-0.549778077735516	-1	0
SUPV3L1	0.999995597146068	-4.86842018862681	1	1	193	0.608282023022862	-0.601705471143519	-1	0
HNRNPAB	0.657983509015208	-0.58714948043465	0.882811545073947	1	185	0.760450644323194	0.772597235655429	1	0
FXR1	0.999154906222264	-3.31915625492479	0.999999995500175	1	189	0.605720422386169	-0.572293278707135	-1	0
PRPF6	0.996248412983194	-2.79467624449756	0.9999996747863	1	193	0.661372684984993	-0.675222734074374	-1	0
RTF1	0.963768651635103	-2.18478835723767	0.999986202387895	1	191	0.807048327973926	-0.807524593125562	-1	0
RPS3A	0.731202904482761	-0.660517024184444	0.864863272445206	1	183	0.79957556401886	-0.733671428890513	-1	0
G3BP1	0.999549493329709	-3.64501963668254	0.999999999942661	1	197	0.692000895929961	-0.585211097535515	-1	0
MATR3	0.999896046178812	-4.03928862680145	0.999999999991822	1	192	0.57604141449167	0.578050428100076	1	0
HNRNPA2B1	0.999793232639995	-3.60329471013662	0.99999999985751	1	193	0.661636977134824	-0.523151638917993	-1	0
AKAP8L	0.999999147423815	-5.0649269094549	1	1	194	0.568911835196554	-0.571528170336662	-1	0
UPF2	0.892208209290181	-1.52632565932859	0.998659873962083	1	182	0.723605237261366	-0.710550402504788	-1	0
EXOSC9	0.999997255853279	-4.64510483075592	0.999999999999999	1	193	0.6425929034218	-0.556921357976312	-1	0
SRFBP1	0.999999953443505	-5.62247755064395	1	1	195	0.644825077428539	-0.701312177907519	-1	0
UTP3	0.97952629818686	-2.07089009603873	0.999861489899258	1	187	0.871955222509084	-0.707241015763084	-1	0
KIF1C	0.972305356714309	-2.13978530380494	0.999975313206141	1	195	0.75536565106553	-0.665319892619929	-1	0
NSUN2	0.999710799480511	-3.48861136150118	0.999999999546931	1	196	0.831861218612845	-0.602941772886225	-1	0
EWSR1	0.999731775858998	-3.89464560401944	0.999999999964293	1	192	0.561131358525428	0.583569089510002	1	0
GRSF1	0.994493422904801	-2.70294767625763	0.999998157185362	1	192	0.731611471119305	0.784679850011465	1	0
MAGOH	0.940255128403672	-1.92122595094013	0.999321554898723	1	183	0.670313697594297	-0.621986161196255	-1	0
ZRANB2	0.990031858723561	-2.5121248498781	0.999997891572954	1	184	0.81189644309879	0.993349138311465	1	0
DDX55	0.760844528714743	-1.03993644722738	0.985774838058421	1	192	0.90615968421446	-0.863645743289484	-1	0
LARP4	0.99916334229569	-3.61986991474842	0.999999999969781	1	189	0.748574262154923	-0.777219179993917	-1	0
CSTF2	0.996743828366535	-2.8278003203953	0.999999688842477	1	183	0.618022265916605	0.563543824293393	1	0
SSB	0.998903557342381	-3.08624263915414	0.999999960864444	1	189	0.76408430255824	0.754299781418153	1	0
PES1	0.999581136719521	-3.72631852239042	0.999999999986532	1	194	0.576389390886152	0.573911971161439	1	0
RBM17	0.5916767513085	-0.231062940226327	0.672800859380313	1	186	0.826352776538577	0.928527937589612	1	0
SSRP1	0.629049154806332	-0.518389889033572	0.914136741675621	1	196	0.809871653403579	0.753070031197957	1	0
RAVER1	0.99640011871029	-3.10525642163893	0.999999986307634	1	190	0.787911691295204	0.860849256828532	1	0
U2AF2	0.999996938673243	-4.97357440400638	1	1	189	0.557412172996487	0.568952202765517	1	0
SRSF5	0.999997255791675	-4.70817489654979	0.999999999999999	1	194	0.734587338451023	-0.608534394722096	-1	0
DAZAP1	0.315603692730657	0.564719140121939	0.26886499910046	1	190	0.887958105255625	-0.799346925282323	-1	0
TFIP11	0.996632116679237	-2.83436291527515	0.999999855950633	1	196	0.734682672621956	-0.571744311272234	-1	0
TRA2A	0.999999744780992	-5.47764932661016	1	1	197	0.621164799440447	0.673218318438719	1	0
RCC2	0.999997338303784	-4.94863383602236	1	1	190	0.536046679138934	0.571282967699562	1	0
SERBP1	0.950894564623968	-1.70326941556402	0.998064401130703	1	181	0.799486554794045	-0.710488055133782	-1	0
TIAL1	0.993036710554777	-2.52217282232562	0.999996371470441	1	188	0.794658299403652	0.85452983066892	1	0
NUSAP1	0.999962081200834	-4.42916723306627	0.999999999999999	1	195	0.659914006360383	0.771089847079417	1	0
SNRNP200	0.998075827894742	-3.16932865169602	0.99999998527623	1	195	0.736507689659532	-0.769141541710869	-1	0
NAA15	0.142181709198921	0.819292469863599	0.196823239155246	1	194	0.952050821411649	-0.994878015993814	-1	0
RBM22	0.999996629421145	-4.73870807415968	1	1	194	0.652702735832677	0.665268334356738	1	0
CKAP4	0.999821603539618	-3.72841096699415	0.999999999968677	1	195	0.886037469802887	-0.61826200581318	-1	0
METAP2	0.999989441476445	-4.57289777192772	0.999999999999999	1	192	0.676763424221749	0.710394857537616	1	0
IGF2BP2	0.999989272948829	-4.63465991595878	1	1	193	0.650002296969381	0.758659537575767	1	0
SART3	0.78561928546575	-1.00790806338494	0.949821945832697	1	187	0.948400592937614	0.896617395418412	1	0
HLTF	0.999396893749401	-3.80732607890704	0.99999999989333	1	192	0.831598592603618	0.959705364388849	1	0
EIF4A3	0.972546718105921	-2.12532620314261	0.999857079991098	1	188	0.73782576592445	-0.624100982666956	-1	0
APOBEC3C	0.58565681398516	-0.28954917221147	0.66685573572612	1	183	0.732892667316732	0.77991820539301	1	0
GPKOW	0.999882584176845	-3.9336393279094	0.999999999998073	1	196	0.784456908495583	0.813372272826343	1	0
AATF	0.98561460071466	-2.36508181931781	0.999963449178358	1	193	0.793491634515248	-0.757469053461733	-1	0
PKM	0.999128535552731	-3.35330474915559	0.999999998474609	1	186	0.691373178532281	-0.624064361881063	-1	0
CCAR2	0.44154354077507	0.182466750355372	0.425067527664908	1	178	0.872312487752398	-0.786701162493702	-1	0
