p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
CNOT7	0.998571295377241	-3.08785285172311	0.999999979427606	1	192	0.700616701185604	-0.67836974662956	-1	0
EFTUD2	0.999991916478967	-5.07029447649032	1	1	196	0.590241125816876	-0.644064192962485	-1	0
PUM2	0.993680043948865	-2.51540230248636	0.99999565653337	1	187	0.718631815897242	-0.775503021392945	-1	0
DDX6	0.999608873407521	-3.58410930719837	0.999999999541994	1	187	0.628151711734792	-0.614850379982852	-1	0
ILF2	0.936251012685559	-1.61068742396137	0.998447804904096	1	190	0.883754470383892	-1.10435823612164	-1	0
SMN1	0.999555153782343	-3.51859569475539	0.999999999618159	1	179	0.578402195790375	-0.60251042406942	-1	0
TARDBP	0.999999384260763	-5.23156469890351	1	1	193	0.613021146839838	-0.620174860695241	-1	0
PRPF8	0.751519575050035	-0.81330080511911	0.937281793676852	1	189	0.8483015956032	-0.93163128761559	-1	0
EIF3G	0.946473178683084	-1.62387715878562	0.997477224868434	1	192	0.752814297749684	-0.773474699379891	-1	0
RBM25	0.999999409339175	-5.39190625964241	1	1	192	0.552568234001017	-0.573211764189329	-1	0
DDX47	0.961860253033087	-1.8204924339254	0.999569798954623	1	195	0.781303794111118	-0.839186398641878	-1	0
ADAR	0.602680443902533	-0.251236666661546	0.677403578009362	1	174	0.994853663154102	-1.01507052223493	-1	0
UTP18	0.980217945533632	-2.39649984802525	0.999996405978801	1	191	0.706678635313314	-0.719939402854067	-1	0
MSI2	0.999906421506051	-4.09128525305204	0.999999999999446	1	193	0.62617414396771	-0.581192942274324	-1	0
EEF2	0.886628136594826	-1.27357116923186	0.991116332152987	1	194	0.826650851627903	-0.857517166665397	-1	0
GTF2F1	0.751009697644166	-0.642488999919688	0.896390595916247	1	184	0.863616126440009	0.894400197323863	1	0
PNPT1	0.455765102766562	0.1109249051437	0.499216991909038	1	184	0.915164121259711	-0.901670743074026	-1	0
SUGP2	0.601650415599415	-0.249651763025337	0.718791759845755	1	189	0.883193812509819	0.720454051765923	1	0
PABPC1	0.848451649396822	-1.02432626760806	0.9790454485926	1	180	0.802825181871053	-0.763246284812013	-1	0
NELFE	0.99680756045449	-2.80304759394319	0.999999767002483	1	193	0.665755498366461	-0.68276448090982	-1	0
DDX28	0.989069298350312	-2.52270866621053	0.999996783469192	1	189	0.705671103925468	-0.831544448465433	-1	0
DDX1	0.967146056462572	-2.08401267565106	0.999947804610231	1	181	0.714584291153422	-0.760266405389632	-1	0
RRP9	0.899829801821965	-1.38588890782195	0.989539263552712	1	188	0.835597414713096	-0.99812332537684	-1	0
SBDS	0.998463018772623	-3.22381362552426	0.999999997599679	1	187	0.630771783811322	-0.701462415452575	-1	0
HSPD1	0.863022808122549	-1.20818862791842	0.985390845659504	1	189	0.835405230460568	-0.85236615808647	-1	0
CPSF7	0.204545884070713	0.906463472667383	0.0938826090150429	1	176	1.02294132633314	-1.07259255341665	-1	0
NOL12	0.75187959686583	-0.74038108701861	0.88565060626863	1	196	0.854282911895787	-0.907490964073837	-1	0
ATP5C1	0.990054581737259	-3.00740415630122	0.999999972787906	1	197	0.709999055872714	-0.743218804732777	-1	0
XRCC6	0.862480269481465	-1.06463380993627	0.972954031134237	1	190	0.803787706522145	-0.869681658406238	-1	0
SND1	0.914843787062677	-1.45646934424287	0.996739100265783	1	195	0.957530680925678	-1.07470318185416	-1	0
SLTM	0.960565294167229	-2.32601213244006	0.999995402811163	1	186	0.752167232996612	-0.77351588170668	-1	0
KRR1	0.972587298568388	-1.98425946746142	0.999876401632866	1	191	0.770830121295382	0.656443608818291	1	0
G3BP2	0.999650575764076	-3.7026329335247	0.999999999937294	1	194	0.769517008503977	-0.871815407732062	-1	0
UPF1	0.999979269075941	-4.20690017422136	0.999999999999838	1	186	0.611455023988105	-0.649409511981139	-1	0
ASCC1	0.999867650967949	-3.69392338205314	0.999999999882204	1	191	0.656950916634291	-0.717087543366984	-1	0
QKI	0.999999666399002	-5.17837203504846	1	1	196	0.596112407594794	-0.61915337475483	-1	0
BUD13	0.999946556907593	-4.41359417363647	0.999999999999995	1	191	0.617156354599706	-0.698266492794811	-1	0
AGO1	0.930657686177682	-1.49934436976418	0.995914488169681	1	182	0.86746668075314	-0.84081047364582	-1	0
ILF3	0.999260500889144	-3.37989088982387	0.999999998548285	1	194	0.660451796265096	-0.708027129741114	-1	0
DDX19B	0.99996901208898	-4.6490538996236	1	1	193	0.614495015293992	-0.662710475669784	-1	0
CSTF2T	0.982704406613604	-2.23277504963245	0.999972054552829	1	195	0.762270947122849	-0.723869926813373	-1	0
TRIM56	0.997121150313438	-3.03857356530199	0.999999965132425	1	195	0.675456691507843	-0.723004897451553	-1	0
IGF2BP3	0.999961636136302	-4.1181957246403	0.999999999999539	1	191	0.666652762185721	-0.731469546582282	-1	0
YBX3	0.628531129615143	-0.367310592357152	0.81717540932233	1	188	0.903639792672731	-0.978222463413589	-1	0
PARN	0.744724106014495	-0.631545600805928	0.885375473334505	1	187	0.991631687027364	-0.862584697484298	-1	0
PA2G4	0.998207429877959	-3.3971751408224	0.99999999948974	1	193	0.716838858209941	-0.774339620346792	-1	0
