p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
BUD13	0.997999070204319	-3.42867748969974	0.999999994788035	1	191	0.316817073492065	0.30400894250111	1	0
AGO1	0.902963256103321	-1.33837099351928	0.990991439093228	1	182	0.427783398271627	-0.410407940133304	-1	0
ILF3	0.994808593157234	-3.43809059018044	0.999999991494536	1	194	0.335031442908454	0.381385078857497	1	0
DDX19B	0.998393390488347	-3.5006328609339	0.999999999408923	1	193	0.322828874134554	-0.291782325778768	-1	0
CSTF2T	0.99512398094716	-2.78935642107401	0.999998987432573	1	195	0.40016099783733	-0.402580237983442	-1	0
TRIM56	0.997672600251079	-2.83442004335267	0.999999537256907	1	195	0.367643712382743	-0.36129822668274	-1	0
IGF2BP3	0.999955673949924	-4.05951822366872	0.999999999999434	1	191	0.339242162784101	-0.30758115141708	-1	0
YBX3	0.812749068902772	-1.06641911694799	0.949957329402326	1	188	0.495143556252863	0.526805658119753	1	0
PARN	0.837493154921701	-1.02587049805825	0.963611195262176	1	187	0.463986617157516	-0.467497751097192	-1	0
PA2G4	0.903552543246301	-1.72395700251031	0.99794513000407	1	193	0.403030060590767	-0.393765621241232	-1	0
RECQL	0.995528791884413	-3.26742547574231	0.999999953695407	1	195	0.355512720384191	-0.369662717357651	-1	0
SRP68	0.999667823362091	-3.74840754516247	0.999999999924602	1	192	0.320661227820022	-0.321210127535091	-1	0
PHF6	0.819832523236285	-1.24042177777978	0.970602631752661	1	190	0.428409812467882	-0.408863268919564	-1	0
FUS	0.999100547037732	-3.29265427001348	0.999999993513248	1	189	0.385237433340766	0.439239068830676	1	0
RBFOX2	0.868500747940604	-1.26454452445571	0.991385894154158	1	183	0.406715142036561	-0.433082857579679	-1	0
AKAP1	0.999397163071302	-3.44000512150805	0.99999999914887	1	195	0.389959577263246	-0.282340588223607	-1	0
U2AF1	0.999617441667714	-3.79252948682715	0.999999999996462	1	182	0.348236035175978	-0.334884679063423	-1	0
DHX30	0.999797327448905	-3.76152833058352	0.999999999984732	1	197	0.355463018832632	-0.35102579247038	-1	0
NPM1	0.808795484960095	-1.09213534168951	0.989996963534283	1	188	0.435326519505524	-0.449658482912484	-1	0
NCBP2	0.381092008834999	-0.749921478761708	0.7665642313591	1	188	0.496441219091815	0.513028315203309	1	0
UBE2L3	0.763250809325439	-1.04091075491631	0.973144992371192	1	194	0.406855903484764	-0.42879894546052	-1	0
FUBP3	0.87722401630904	-1.94682796839945	0.9972474234396	1	187	0.42023849249802	0.479997135564663	1	0
FKBP4	0.626481638780752	-1.28007562578289	0.957929676871259	1	197	0.440336123289807	0.472533632892039	1	0
CPSF6	0.999931087610999	-4.45712430725234	0.999999999999992	1	196	0.273769343367741	-0.278637494666211	-1	0
RBM15	0.999963240681668	-4.13449945130695	0.999999999998814	1	194	0.322711664250426	-0.290073035955297	-1	0
CCAR1	0.998737449329398	-3.59896695881156	0.999999999671718	1	190	0.311917713784862	-0.334476554578716	-1	0
AUH	0.796504884404343	-1.10298934778037	0.959035443325517	1	191	0.47337850398189	-0.481066331453684	-1	0
GEMIN5	0.999995830104103	-4.83911111348704	1	1	193	0.286377116696632	-0.270289877477278	-1	0
NONO	0.99916595084455	-3.38986020108331	0.999999998892397	1	196	0.369295751305731	-0.392941749602447	-1	0
SMNDC1	0.999999958690263	-5.74619990400961	1	1	196	0.264689877080384	-0.217202310961511	-1	0
BCLAF1	0.999986016673925	-4.54092934496326	0.999999999999999	1	192	0.308548389869866	-0.273748055361521	-1	0
ZC3H8	0.999999567992416	-5.25937645573385	1	1	194	0.286657967157139	-0.234433582678008	-1	0
XPO5	0.997062913070542	-3.29265606548862	0.999999983661722	1	191	0.33586233644466	0.357199255874481	1	0
SF3A3	0.999914849759163	-3.97007305693149	0.99999999998639	1	197	0.346820403426401	0.380918122411106	1	0
FAM120A	0.204192239087208	-1.69652889919715	0.95689759718439	1	197	0.380554237368949	0.404065808541224	1	0
