p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
SUCLG1	0.942676566356294	-1.77428509373212	0.998171813434915	1	192	0.711708439162864	-0.472778180833157	-1	0
SLBP	0.999221878055758	-3.66994164037281	0.999999998699064	1	196	0.543147852509106	-0.48626133413445	-1	0
CNOT7	0.997114112952043	-2.78236211768613	0.999999422114206	1	192	0.611552729134884	-0.555156562067083	-1	0
EFTUD2	0.999974207462191	-4.26145021421956	0.999999999999535	1	196	0.568399315332482	-0.568995309659087	-1	0
PUM2	0.9055891838654	-1.95195154287889	0.999141203890725	1	187	0.604159284119738	-0.545017809030775	-1	0
DDX6	0.999399140521356	-3.48225402723602	0.999999996613631	1	187	0.641937620390975	-0.530137856012549	-1	0
ILF2	0.999814966620278	-3.70931887279945	0.999999999823973	1	190	0.675258167098401	0.716319855410972	1	0
SMN1	0.86451066091306	-1.18773179800503	0.974210955557403	1	179	0.766430380345155	-0.582874042717682	-1	0
TARDBP	0.999774083445475	-3.9245580303508	0.999999999972516	1	193	0.609064889795016	-0.534106601601007	-1	0
PRPF8	0.989931041131675	-2.79605549370885	0.999999270184971	1	189	0.636239772763083	-0.555322162475839	-1	0
EIF3G	0.872038000896308	-1.18546313813241	0.977906091428671	1	192	0.761626983210742	-0.673654554122806	-1	0
RBM25	0.999985124421597	-4.52473083133833	0.999999999999969	1	192	0.557546406557088	-0.509525349074223	-1	0
DDX47	0.934856800300233	-1.50770960146219	0.995946738701378	1	195	0.78014018078343	-0.666232967113119	-1	0
ADAR	0.744235873559989	-0.748681388514109	0.932514086383436	1	174	0.746725155560175	0.951932924970397	1	0
UTP18	0.933216564919356	-1.65472773430623	0.998706981691045	1	191	0.507150139323353	-0.449540914532357	-1	0
MSI2	0.994296773725049	-2.96535805053664	0.999999912791306	1	193	0.590344060457905	-0.552894346764941	-1	0
EEF2	0.91868266210204	-1.51213382087072	0.993631692547233	1	194	0.73586423216619	-0.603466281831781	-1	0
GTF2F1	0.939115435952948	-1.82513094982601	0.999722091922527	1	184	0.691398814955216	-0.618893827743202	-1	0
PNPT1	0.807185185740712	-0.878258492530969	0.936065505356415	1	184	0.708459731587434	-0.557048577666622	-1	0
SUGP2	0.943600001844452	-1.83761793380078	0.999623710256224	1	189	0.661252638952309	0.677444931109518	1	0
PABPC1	0.858314809842265	-1.04830398086744	0.972794609374176	1	180	0.767513011952691	-0.629149973997632	-1	0
NELFE	0.999505848172605	-3.40820562125674	0.999999995872148	1	193	0.598023238162649	-0.527996341599291	-1	0
DDX28	0.990126289686004	-2.38269843863876	0.999978756232305	1	189	0.587526256963415	-0.499397116785838	-1	0
DDX1	0.91198219728971	-1.63311210932443	0.99749984386854	1	181	0.633521490611078	-0.581580075287332	-1	0
RRP9	0.919047579451662	-1.42800711053069	0.99570721759225	1	188	0.641544711689052	-0.595945090228746	-1	0
SBDS	0.953578812067314	-1.97420919954424	0.999908653705668	1	187	0.640349445303188	-0.551405616600597	-1	0
HSPD1	0.929777044565344	-1.63672847397967	0.996998662153334	1	189	0.692049154926296	-0.556751372227295	-1	0
CPSF7	0.452195679501322	0.123932784057815	0.463596599739978	1	176	0.713710353891539	0.841963426829054	1	0
NOL12	0.621261699721955	-0.287836671097903	0.74099553034662	1	196	0.770920745297839	-0.607189208616296	-1	0
ATP5C1	0.999419333062066	-3.79558153324358	0.999999999706637	1	197	0.519349911342678	-0.43419667036773	-1	0
XRCC6	0.98352585464868	-2.21955194096425	0.999917433817732	1	190	0.697033346449431	-0.578896167822271	-1	0
